start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
1,10,499,-10.8,-6.0,0.9985,0.9851
11,20,499,-10.6,-9.0,0.9836,0.9704
21,30,499,-11.0,-9.0,0.969,0.956
31,40,499,-9.9,-7.0,0.9545,0.9417
41,50,499,-11.0,-8.0,0.9403,0.9277
51,60,499,-10.5,-8.0,0.9263,0.9139
61,70,499,-10.4,-8.0,0.9125,0.9003
71,80,499,-10.5,-5.0,0.8989,0.8868
81,90,499,-10.4,-7.0,0.8855,0.8736
91,100,499,-9.3,-4.0,0.8723,0.8606
1,100,499,-10.44,-4.0,0.9985,0.8606
101,110,499,-10.9,-9.0,0.8593,0.8478
111,120,499,-10.2,-6.0,0.8465,0.8352
121,130,499,-9.9,-8.0,0.8339,0.8227
131,140,499,-10.5,-7.0,0.8215,0.8105
141,150,499,-10.1,-7.0,0.8092,0.7984
151,160,499,-10.2,-7.0,0.7972,0.7865
161,170,499,-9.8,-6.0,0.7853,0.7748
171,180,499,-11.0,-9.0,0.7736,0.7632
181,190,499,-9.4,-5.0,0.7621,0.7519
191,200,499,-11.5,-9.0,0.7507,0.7407
101,200,499,-10.35,-5.0,0.8593,0.7407
201,210,499,-10.7,-9.0,0.7395,0.7296
211,220,499,-10.7,-9.0,0.7285,0.7187
221,230,499,-11.3,-8.0,0.7177,0.708
231,240,499,-11.1,-9.0,0.707,0.6975
241,250,499,-10.1,-7.0,0.6964,0.6871
251,260,499,-10.6,-8.0,0.6861,0.6769
261,270,499,-11.8,-10.0,0.6758,0.6668
271,280,499,-11.0,-7.0,0.6658,0.6568
281,290,499,-11.3,-9.0,0.6559,0.6471
291,300,499,-10.9,-10.0,0.6461,0.6374
201,300,499,-10.95,-7.0,0.7395,0.6374
301,310,499,-10.7,-9.0,0.6365,0.6279
311,320,499,-10.8,-10.0,0.627,0.6186
321,330,499,-11.1,-10.0,0.6176,0.6093
331,340,499,-11.8,-10.0,0.6084,0.6003
341,350,499,-10.7,-7.0,0.5994,0.5913
351,360,499,-10.5,-9.0,0.5904,0.5825
361,370,499,-11.0,-9.0,0.5816,0.5738
371,380,499,-10.5,-8.0,0.573,0.5653
381,390,499,-10.3,-8.0,0.5644,0.5569
391,400,499,-10.4,-8.0,0.556,0.5486
301,400,499,-10.78,-7.0,0.6365,0.5486
401,410,499,-11.2,-7.0,0.5477,0.5404
411,420,499,-10.8,-9.0,0.5396,0.5323
421,430,499,-10.1,-6.0,0.5315,0.5244
431,440,499,-10.7,-8.0,0.5236,0.5166
441,450,499,-10.1,-6.0,0.5158,0.5089
451,460,499,-10.7,-8.0,0.5081,0.5013
461,470,499,-10.5,-6.0,0.5006,0.4938
471,480,499,-11.3,-10.0,0.4931,0.4865
481,490,499,-11.1,-9.0,0.4858,0.4792
491,500,499,-11.5,-10.0,0.4785,0.4721
401,500,499,-10.8,-6.0,0.5477,0.4721
501,510,499,-11.6,-10.0,0.4714,0.4651
511,520,499,-11.0,-8.0,0.4644,0.4581
521,530,499,-10.5,-8.0,0.4575,0.4513
531,540,499,-11.3,-10.0,0.4506,0.4446
541,550,499,-11.9,-10.0,0.4439,0.438
551,560,499,-12.1,-9.0,0.4373,0.4314
561,570,499,-12.0,-10.0,0.4308,0.425
571,580,499,-11.6,-9.0,0.4244,0.4187
581,590,499,-12.6,-11.0,0.418,0.4124
591,600,499,-10.5,-8.0,0.4118,0.4063
501,600,499,-11.51,-8.0,0.4714,0.4063
601,610,499,-10.8,-9.0,0.4057,0.4002
611,620,499,-10.9,-8.0,0.3996,0.3943
621,630,499,-11.8,-8.0,0.3937,0.3884
631,640,499,-11.0,-8.0,0.3878,0.3826
641,650,499,-12.0,-8.0,0.382,0.3769
651,660,499,-11.0,-8.0,0.3764,0.3713
661,670,499,-11.3,-8.0,0.3707,0.3658
