time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss
360,159744,78,443,0.001,-0.06300054490566254,0.028181303,-0.00035774707794189453,0.2,0.184619140625,-0.030637398781254887,770,0.008511957637529122,-2.850820478796959
360,161792,79,449,0.001,-0.18704363703727722,0.15446183,-3.204881191253662,0.2,0.752880859375,-0.1315032518701628,780,4.9861704312093025e-06,-2.809455323219299
360,163840,80,454,0.001,-0.04379797726869583,0.05293352,-1.3470649719238281e-05,0.2,0.21591796875,-0.055189359351061285,790,0.14674340607598424,-2.8398279339075088
360,165888,81,460,0.001,-0.0582079254090786,0.037931748,-0.0001283884048461914,0.2,0.202099609375,-0.052856402448378505,800,0.06662925225682556,-2.847672837972641
360,167936,82,465,0.001,-0.03135771304368973,0.04368203,-2.4557113647460938e-05,0.2,0.274072265625,-0.06277443763101473,810,0.16898656077682972,-2.8486159682273864
360,169984,83,471,0.001,-0.17097194492816925,0.0777095,-0.00039136409759521484,0.2,0.490478515625,-0.04661704256432131,820,0.01319858358598367,-2.837642964720726
360,172032,84,477,0.001,-0.0451812744140625,0.028781584,-2.2172927856445312e-05,0.2,0.1947265625,-0.04103327073389664,830,0.1017254201695323,-2.849827179312706
360,174080,85,482,0.001,-0.05990482494235039,0.021618076,-0.000141143798828125,0.2,0.139404296875,-0.039963876485126094,840,0.04833986380835995,-2.8608866393566132
360,176128,86,488,0.001,-0.007418803870677948,0.03301511,-2.0742416381835938e-05,0.2,0.2052734375,-0.05997442661318928,850,0.16937910104170442,-2.859957364201546
360,178176,87,494,0.001,-0.06904889643192291,0.026253905,-0.00013387203216552734,0.2,0.1771484375,-0.04711027212906629,860,0.030140135833062232,-2.8588310569524764
360,180224,88,499,0.001,-0.044199131429195404,0.021690223,-3.24249267578125e-05,0.2,0.13818359375,-0.0331661515054293,870,0.05588278623763472,-2.8600454151630403
360,182272,89,506,0.001,-0.016188062727451324,0.029048271,-2.3484230041503906e-05,0.2,0.185986328125,-0.045877394964918494,880,0.09362443429417908,-2.8554819881916047
360,184320,90,511,0.001,-0.052698567509651184,0.014987723,-4.9591064453125e-05,0.2,0.086572265625,-0.028108416276518257,890,0.052246263960842046,-2.8688595414161684
360,186368,91,517,0.001,-0.050249963998794556,0.0319482,-2.8014183044433594e-05,0.2,0.1576171875,-0.04233851048629731,900,0.045736267953179775,-2.857779437303543
360,188416,92,522,0.001,-0.05031336098909378,0.029222548,-5.030632019042969e-05,0.2,0.18115234375,-0.041055327717913315,910,0.04238397852750495,-2.858776816725731
360,190464,93,528,0.001,-0.043709490448236465,0.016499966,-0.0001475811004638672,0.2,0.156494140625,-0.017098609427921473,920,0.006768510082238777,-2.86444638967514
360,192512,94,534,0.001,-0.06681635975837708,0.024179105,-2.9206275939941406e-05,0.2,0.161474609375,-0.04607852761400864,930,0.025037409737706184,-2.8655736654996873
360,194560,95,539,0.001,-0.18131136894226074,0.13195908,-3.7007532119750977,0.2,0.7021484375,-0.12821809636661782,940,2.443776446625634e-06,-2.8273483246564863
360,196608,96,545,0.001,-0.01170194149017334,0.03830647,-8.225440979003906e-06,0.2,0.207666015625,-0.04440886909142137,950,0.10921814036555588,-2.856477344036102
360,198656,97,551,0.001,-0.06095941737294197,0.024100523,-0.0003857612609863281,0.2,0.13984375,-0.031026150239631532,960,0.008480027693440206,-2.860528564453125
360,200704,98,556,0.001,-0.053911853581666946,0.019636653,-0.00015985965728759766,0.2,0.129443359375,-0.028662190190516412,970,0.008492066209873883,-2.8601620852947236
360,202752,99,562,0.001,-0.17717546224594116,0.1412164,-6.357736110687256,0.2,0.710986328125,-0.13025241001159885,980,2.4049901419687105e-06,-2.818588379025459
360,204800,100,568,0.001,-0.17224270105361938,0.11414559,-0.0005069971084594727,0.2,0.620458984375,-0.06708225189941004,990,0.001862734678216782,-2.8088558197021483
360,206848,101,573,0.001,-0.03769452124834061,0.018778648,-2.2649765014648438e-05,0.2,0.146240234375,-0.02232226587366313,1000,0.033231450885068625,-2.844282624125481
360,208896,102,579,0.001,-0.05043254792690277,0.05128903,-0.0004767179489135742,0.2,0.260888671875,-0.016119683324359358,1010,0.0060352235751665265,-2.8464807897806166
360,210944,103,585,0.001,-0.03724994882941246,0.023448095,-7.259845733642578e-05,0.2,0.239111328125,-0.016641369706485422,1020,0.025318451781151906,-2.8617407023906707
360,212992,104,590,0.001,-0.047451201826334,0.02520575,-1.823902130126953e-05,0.2,0.18486328125,-0.055447317619109524,1030,0.0955904109403491,-2.8666827887296678
360,215040,105,596,0.001,-0.05003228783607483,0.017025257,-7.712841033935547e-05,0.2,0.1279296875,-0.039172909141052516,1040,0.05076671792194247,-2.867469075322151
360,217088,106,601,0.001,-0.16786766052246094,0.12941419,-4.50939416885376,0.2,0.67666015625,-0.1241671918774955,1050,3.475184662704578e-06,-2.8252453058958054
