train/entropy_loss,train/policy_loss,time/fps,time/total_timesteps,time/time_elapsed,train/learning_rate,train/value_loss,train/n_updates,rollout/ep_rew_mean,train/explained_variance,rollout/ep_len_mean,time/iterations
-1.786014199256897,-0.024807320907711983,339,8000,23,7.237194927023023e-05,0.15263019502162933,99,-20.9,0.1478840708732605,902.0,100
-1.7873207330703735,0.16633449494838715,354,16000,45,7.237194927023023e-05,0.13093511760234833,199,-21.0,0.1996629238128662,870.8,200
-1.789215087890625,0.11875169724225998,360,24000,66,7.237194927023023e-05,0.05454590544104576,299,-20.7,0.4189167022705078,853.2,300
-1.7876609563827515,0.0048479437828063965,363,32000,88,7.237194927023023e-05,0.11611693352460861,399,-20.8,0.1990090012550354,871.6,400
-1.788387656211853,0.04733278229832649,365,40000,109,7.237194927023023e-05,0.11325361579656601,499,-20.6,0.4326481223106384,882.0,500
-1.7864834070205688,-0.05436786636710167,366,48000,131,7.237194927023023e-05,0.12026076763868332,599,-21.0,0.2710024118423462,847.6,600
-1.7829866409301758,0.1637769192457199,367,56000,152,7.237194927023023e-05,0.06360649317502975,699,-20.5,0.44641923904418945,931.3,700
-1.7865971326828003,-0.07824508100748062,367,64000,173,7.237194927023023e-05,0.1196770891547203,799,-21.0,0.35660237073898315,822.1,800
-1.7807596921920776,0.07947220653295517,368,72000,195,7.237194927023023e-05,0.043033044785261154,899,-20.8,0.6974643170833588,869.9,900
-1.7837013006210327,-0.25979891419410706,368,80000,216,7.237194927023023e-05,0.11083626747131348,999,-20.6,0.47753196954727173,873.5,1000
-1.781025767326355,0.07250090688467026,369,88000,238,7.237194927023023e-05,0.07472861558198929,1099,-20.7,0.4230189919471741,878.6,1100
-1.7728556394577026,0.03176899254322052,369,96000,259,7.237194927023023e-05,0.012826668098568916,1199,-20.7,0.9235530719161034,869.2,1200
-1.7854413986206055,0.030213261023163795,369,104000,281,7.237194927023023e-05,0.07275094091892242,1299,-20.8,0.6523896753787994,885.4,1300
-1.7845007181167603,0.01642575114965439,369,112000,302,7.237194927023023e-05,0.15640337765216827,1399,-20.9,0.09107720851898193,885.7,1400
