train/n_updates,train/entropy_loss,train/explained_variance,time/total_timesteps,train/learning_rate,time/time_elapsed,train/value_loss,time/fps,train/policy_loss,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean
10799,-1.8420116901397705,0.16989070177078247,864000,4.7838391492404546e-05,2565,0.05512769892811775,336,-0.12924419343471527,10800,-1.5,2378.7
10899,-1.933310866355896,0.0654834508895874,872000,4.7838391492404546e-05,2589,0.23561067879199982,336,0.0581001415848732,10900,-5.0,2384.3
10999,-1.813862681388855,0.08714604377746582,880000,4.7838391492404546e-05,2612,0.13144300878047943,336,0.04269256815314293,11000,-5.2,2380.8
11099,-1.4942048788070679,-0.01673281192779541,888000,4.7838391492404546e-05,2636,0.0912061333656311,336,0.037766795605421066,11100,0.9,2382.4
11199,-1.4543862342834473,0.22262871265411377,896000,4.7838391492404546e-05,2660,0.1814381331205368,336,0.06589663773775101,11200,-4.6,2382.0
11299,-1.5216503143310547,0.006548821926116943,904000,4.7838391492404546e-05,2683,0.3141150176525116,336,0.023334193974733353,11300,-3.6,2381.1
11399,-1.9307209253311157,-0.014424324035644531,912000,4.7838391492404546e-05,2707,0.35566025972366333,336,-0.25077930092811584,11400,-3.5,2380.1
11499,-1.6453907489776611,-0.019580960273742676,920000,4.7838391492404546e-05,2731,0.1893993616104126,336,-0.21544034779071808,11500,2.3,2379.3
11599,-1.6751056909561157,0.07805705070495605,928000,4.7838391492404546e-05,2755,0.12565362453460693,336,-0.22627563774585724,11600,-0.7,2377.0
11699,-1.5415847301483154,0.0744885802268982,936000,4.7838391492404546e-05,2779,0.14396344125270844,336,-0.035901185125112534,11700,3.9,2380.1
11799,-1.2712745666503906,0.01606971025466919,944000,4.7838391492404546e-05,2802,0.2707599103450775,336,0.3108152747154236,11800,-1.5,2377.1
11899,-1.5328353643417358,0.009856939315795898,952000,4.7838391492404546e-05,2826,0.2995510995388031,336,-0.056180067360401154,11900,-1.4,2377.6
11999,-1.5952616930007935,0.053210318088531494,960000,4.7838391492404546e-05,2849,0.19867442548274994,336,-0.0677817091345787,12000,0.8,2382.9
12099,-1.4274698495864868,-0.0230482816696167,968000,4.7838391492404546e-05,2873,0.2967049181461334,336,0.18802094459533691,12100,-2.6,2385.7
12199,-1.3602566719055176,0.07132065296173096,976000,4.7838391492404546e-05,2897,0.33620819449424744,336,0.006932370364665985,12200,-1.0,2376.0
12299,-1.9536577463150024,-0.0190427303314209,984000,4.7838391492404546e-05,2921,0.2845708131790161,336,-0.15534426271915436,12300,-2.4,2383.6
12399,-2.201446533203125,0.015243351459503174,992000,4.7838391492404546e-05,2945,0.19848306477069855,336,0.12227757275104523,12400,1.5,2385.1
12499,-1.5771888494491577,-0.0025326013565063477,1000000,4.7838391492404546e-05,2969,0.27185410261154175,336,-0.11045632511377335,12500,0.7,2382.2
