rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/policy_loss,time/time_elapsed,train/n_updates,time/total_timesteps,train/learning_rate,train/value_loss,train/entropy_loss,time/fps
215.8,1.4,100,0.47210484743118286,0.06531741470098495,33,99,8000,0.0008024186087006806,0.08706151694059372,-1.3807858228683472,239
436.1,10.4,200,0.4289451837539673,-0.04454389214515686,61,199,16000,0.0008024186087006806,0.11289550364017487,-0.8294311761856079,260
445.8,11.0,300,0.980725159868598,0.0033743579406291246,87,299,24000,0.0008024186087006806,0.0041780597530305386,-0.334991991519928,273
449.5,10.1,400,0.9788505230098963,-0.0058297584764659405,113,399,32000,0.0008024186087006806,0.008114385418593884,-0.2530270516872406,281
440.3,10.4,500,0.9896174622699618,-0.021261628717184067,139,499,40000,0.0008024186087006806,0.002679038792848587,-0.5569146275520325,286
429.0,8.1,600,0.9782684072852135,-0.03629287704825401,165,599,48000,0.0008024186087006806,0.0055787586607038975,-0.7965390682220459,289
439.1,8.7,700,0.9898926392197609,0.00835510902106762,191,699,56000,0.0008024186087006806,0.0021385757718235254,-0.5005687475204468,292
446.8,10.5,800,0.9535550139844418,-0.011871871538460255,217,799,64000,0.0008024186087006806,0.009289838373661041,-0.914000928401947,294
536.3,13.3,900,0.8565055578947067,-0.036815132945775986,243,899,72000,0.0008024186087006806,0.035611189901828766,-0.6543146967887878,295
562.3,13.5,1000,0.9375926554203033,0.01803421415388584,269,999,80000,0.0008024186087006806,0.012021581642329693,-0.43921318650245667,297
641.1,17.4,1100,0.8650666922330856,-0.02438577078282833,293,1099,88000,0.0008024186087006806,0.029851561412215233,-0.6760750412940979,299
637.8,16.8,1200,0.8714843839406967,-0.046263691037893295,318,1199,96000,0.0008024186087006806,0.04074084758758545,-0.4611142575740814,301
664.2,18.5,1300,0.8365684300661087,0.01205360610038042,343,1299,104000,0.0008024186087006806,0.046909935772418976,-0.4591880738735199,302
695.5,18.3,1400,0.9231609776616096,-0.04868475720286369,368,1399,112000,0.0008024186087006806,0.0181894414126873,-0.25516799092292786,303
760.3,21.4,1500,0.7098252773284912,-0.030712813138961792,393,1499,120000,0.0008024186087006806,0.06002385541796684,-0.40241310000419617,304
734.9,18.6,1600,0.8596253097057343,0.0031751522328704596,418,1599,128000,0.0008024186087006806,0.04659026488661766,-0.15324215590953827,306
797.6,23.0,1700,0.7929604202508926,-0.019703729078173637,442,1699,136000,0.0008024186087006806,0.03381311520934105,-0.37308207154273987,307
831.1,26.6,1800,0.8961569517850876,-0.011669988743960857,466,1799,144000,0.0008024186087006806,0.01718606986105442,-0.1718798130750656,308
725.7,21.1,1900,0.752984419465065,-0.055298175662755966,491,1899,152000,0.0008024186087006806,0.061117302626371384,-0.2503879964351654,309
741.8,19.6,2000,0.7130517065525055,-0.0048463917337358,515,1999,160000,0.0008024186087006806,0.05014793947339058,-0.23628802597522736,310
823.2,25.2,2100,0.9419376738369465,0.0016332239611074328,540,2099,168000,0.0008024186087006806,0.014881730079650879,-0.1505119353532791,311
838.5,28.0,2200,0.6875578761100769,-0.1191987544298172,564,2199,176000,0.0008024186087006806,0.06839399039745331,-0.15195491909980774,311
833.7,27.6,2300,0.9466696344316006,-0.0009359348914586008,588,2299,184000,0.0008024186087006806,0.010358882136642933,-0.08952314406633377,312
801.0,26.6,2400,0.98233831115067,0.000735977606382221,613,2399,192000,0.0008024186087006806,0.004283849149942398,-0.0802355632185936,312
809.7,26.2,2500,0.9754455797374249,-9.901267912937328e-05,638,2499,200000,0.0008024186087006806,0.005213426426053047,-0.07503440231084824,313
811.7,26.6,2600,0.8613066524267197,-0.021427730098366737,662,2599,208000,0.0008024186087006806,0.02832653932273388,-0.05562466382980347,314
821.9,22.2,2700,0.9147816970944405,0.005255491938441992,686,2699,216000,0.0008024186087006806,0.01701788417994976,-0.1322489082813263,314
827.6,27.5,2800,0.988324218429625,-0.0020981216803193092,711,2799,224000,0.0008024186087006806,0.0020882391836494207,-0.06529050320386887,314
798.5,26.5,2900,0.9310992360115051,-0.0549427829682827,735,2899,232000,0.0008024186087006806,0.019741175696253777,-0.04773574694991112,315
805.7,26.9,3000,0.9982646987773478,-0.0005609427462331951,759,2999,240000,0.0008024186087006806,0.0005947769968770444,-0.06225275620818138,315
805.7,25.9,3100,0.9779834263026714,0.00013427446538116783,784,3099,248000,0.0008024186087006806,0.00392362754791975,-0.033306021243333817,316
800.2,26.4,3200,0.9951295754872262,-2.738923103606794e-05,808,3199,256000,0.0008024186087006806,0.0015878878766670823,-0.049254320561885834,316
843.6,28.8,3300,0.9917426649481058,0.0002242893970105797,832,3299,264000,0.0008024186087006806,0.0026711239479482174,-0.05173039063811302,317
806.3,26.9,3400,0.9883572263643146,-0.0015919095603749156,857,3399,272000,0.0008024186087006806,0.0031216570641845465,-0.06571967899799347,317
805.8,26.8,3500,0.9862016225233674,0.0015278573846444488,881,3499,280000,0.0008024186087006806,0.004663398489356041,-0.06332094967365265,317
802.6,27.0,3600,0.9981206601951271,-0.00023372893338091671,905,3599,288000,0.0008024186087006806,0.0005532125942409039,-0.026000360026955605,318
801.7,26.5,3700,0.9892911082133651,0.010102104395627975,928,3699,296000,0.0008024186087006806,0.0030096499249339104,-0.11889433860778809,318
805.0,26.8,3800,0.9420715868473053,-0.012827463448047638,951,3799,304000,0.0008024186087006806,0.017495455220341682,-0.08380825817584991,319
807.9,27.0,3900,0.9989006796386093,8.497320231981575e-05,975,3899,312000,0.0008024186087006806,0.0003273155016358942,-0.06881039589643478,319
