#{"t_start": 1713771306.4378421, "env_id": "BreakoutDeterministic-v4"}
r,l,t
4.0,344,7.490738
2.0,229,9.977235
0.0,173,11.468776
2.0,225,13.636267
2.0,259,16.371505
1.0,195,18.056415
2.0,226,20.319672
2.0,246,22.852775
3.0,269,25.762663
0.0,179,27.187645
0.0,177,28.571832
0.0,155,29.866529
2.0,252,32.340453
2.0,234,34.790732
1.0,199,36.687058
2.0,212,38.863987
2.0,273,41.669569
1.0,196,43.527019
2.0,247,45.631086
1.0,204,47.355821
2.0,223,49.65051
0.0,158,51.036692
2.0,219,53.203851
0.0,151,54.416861
1.0,216,56.362919
2.0,239,58.6175
2.0,234,60.818663
1.0,197,62.666254
2.0,228,64.931874
2.0,260,67.584427
1.0,167,69.218305
0.0,179,70.598045
2.0,210,72.712704
1.0,199,74.581237
2.0,263,77.227259
3.0,286,80.299982
2.0,222,82.538427
1.0,195,84.538651
1.0,197,86.503603
1.0,213,88.610002
0.0,176,89.970242
3.0,283,92.755363
1.0,211,94.529532
0.0,168,95.763833
0.0,177,97.151554
1.0,218,99.047861
2.0,232,101.280056
2.0,240,103.61401
2.0,243,105.975866
2.0,236,108.270971
1.0,212,110.208911
2.0,235,112.335378
1.0,197,114.130577
2.0,242,116.433043
2.0,227,118.687683
4.0,340,172.320831
1.0,217,174.222777
1.0,218,175.984102
4.0,336,179.243811
2.0,261,181.776317
1.0,211,183.525883
0.0,163,184.879152
3.0,303,187.902289
2.0,224,190.048672
1.0,202,191.714202
2.0,236,194.02404
3.0,285,196.955625
10.0,462,202.237298
4.0,355,205.778937
2.0,243,207.922519
3.0,288,210.772885
3.0,266,213.486156
2.0,240,215.796528
5.0,373,219.941335
1.0,186,221.509845
5.0,356,225.229553
2.0,247,227.75765
2.0,217,229.908856
8.0,445,234.67518
3.0,296,237.447251
6.0,388,241.595148
5.0,382,245.6868
4.0,284,248.413463
5.0,387,252.287345
5.0,332,255.920891
3.0,286,258.626328
1.0,209,260.415239
5.0,359,264.090255
2.0,234,266.223799
0.0,181,267.587847
5.0,391,271.503017
2.0,227,273.731053
5.0,391,327.9984
2.0,210,329.793014
5.0,352,333.169747
6.0,373,336.95401
7.0,445,341.645993
5.0,344,345.193311
2.0,247,347.377582
5.0,347,350.657511
2.0,263,353.027893
1.0,222,354.827685
7.0,437,359.028179
7.0,422,363.386837
4.0,303,366.407601
4.0,336,369.772473
2.0,245,371.907837
2.0,221,373.937665
8.0,497,379.459729
4.0,310,382.825951
4.0,327,386.041338
5.0,360,389.59961
6.0,389,393.549513
7.0,424,397.886524
4.0,324,401.057965
11.0,488,406.188478
4.0,294,409.093339
0.0,155,410.308922
2.0,241,412.227011
11.0,473,417.139205
4.0,314,420.26577
7.0,452,424.750777
2.0,246,426.788743
13.0,642,475.345156
13.0,552,481.013263
8.0,447,485.605472
7.0,398,489.528868
11.0,491,494.34543
6.0,392,498.137204
8.0,445,502.420653
12.0,532,507.85906
6.0,396,511.656109
13.0,571,517.302335
14.0,626,523.710979
5.0,321,526.690464
7.0,413,530.642499
11.0,486,535.141524
8.0,510,540.030114
6.0,409,544.073636
4.0,324,547.077384
9.0,537,552.48849
3.0,264,554.904974
7.0,423,558.963938
7.0,391,562.740587
10.0,511,609.478555
14.0,617,615.703254
7.0,409,619.523707
11.0,615,625.634793
14.0,580,631.313473
10.0,484,635.967427
12.0,620,641.880394
6.0,394,645.468644
8.0,437,649.627621
13.0,545,654.579555
14.0,598,660.601464
7.0,420,664.676915
15.0,591,670.581075
14.0,593,676.473382
23.0,693,683.688424
7.0,398,687.4826
8.0,434,691.767885
7.0,404,695.344599
21.0,636,750.055917
13.0,535,755.166721
17.0,620,761.195353
12.0,649,767.565507
14.0,576,773.285543
14.0,632,779.561918
13.0,571,784.978987
12.0,449,789.147256
13.0,643,795.657804
11.0,486,800.159734
16.0,544,805.606641
16.0,657,812.377091
19.0,735,819.951189
19.0,565,825.361188
14.0,475,830.052145
18.0,631,836.436124
21.0,779,885.418616
20.0,660,892.095542
13.0,519,897.079459
22.0,657,903.717847
20.0,839,912.30361
17.0,641,918.746379
14.0,635,924.982039
20.0,729,932.265881
23.0,680,939.201386
14.0,575,944.923729
15.0,749,952.407191
13.0,620,958.382992
18.0,772,965.719124
14.0,731,1014.91935
24.0,719,1021.907339
14.0,497,1026.559498
11.0,528,1031.745794
27.0,810,1039.87116
26.0,719,1046.908357
15.0,593,1052.584569
18.0,696,1059.606445
23.0,704,1066.666514
28.0,771,1074.419305
22.0,665,1080.911107
18.0,720,1088.106863
25.0,872,1096.925837
31.0,967,1146.454922
23.0,826,1154.730181
25.0,886,1163.559259
31.0,862,1171.99113
25.0,836,1180.248779
26.0,815,1188.401128
14.0,709,1195.350743
30.0,934,1204.828572
29.0,946,1214.368115
32.0,926,1223.6144
23.0,760,1272.594893
17.0,547,1277.666465
31.0,869,1286.165496
26.0,777,1293.962734
17.0,613,1299.781918
26.0,839,1308.046474
21.0,858,1316.634347
17.0,695,1323.132687
22.0,838,1331.382828
26.0,877,1340.284609
19.0,748,1347.640357
27.0,860,1356.302674
19.0,745,1403.054196
18.0,723,1410.144627
16.0,663,1416.623661
18.0,758,1424.158421
