#{"t_start": 1713771305.315311, "env_id": "BreakoutDeterministic-v4"}
r,l,t
2.0,230,6.959215
1.0,197,8.745913
0.0,146,10.005384
0.0,165,11.311325
1.0,210,13.198243
1.0,195,15.253874
1.0,215,17.133573
3.0,268,19.78117
1.0,212,21.739465
0.0,173,23.114953
2.0,253,25.511017
1.0,223,27.506782
0.0,167,28.888987
4.0,332,32.481894
0.0,181,33.932389
2.0,224,36.23467
1.0,188,38.023812
1.0,193,39.876947
0.0,176,41.337575
1.0,189,43.219105
2.0,247,45.486215
1.0,204,47.284689
2.0,220,49.567312
0.0,171,50.806205
1.0,195,52.696615
4.0,316,56.028098
3.0,272,58.956103
1.0,217,61.074789
3.0,300,64.178178
2.0,218,66.496364
0.0,161,67.895664
2.0,260,70.661906
1.0,196,72.483516
0.0,172,73.870363
0.0,172,75.200591
3.0,275,78.159226
2.0,247,80.73805
2.0,241,83.020767
3.0,269,86.0645
1.0,206,88.159285
0.0,160,89.549216
0.0,177,90.951223
1.0,200,92.867881
3.0,274,95.890917
4.0,313,99.082981
1.0,202,100.823375
1.0,210,102.602394
1.0,192,104.316937
1.0,219,106.258601
0.0,173,107.77292
3.0,269,110.607582
1.0,194,112.494412
2.0,225,114.695915
0.0,173,116.067775
2.0,218,118.29397
1.0,202,170.332912
3.0,277,172.881018
3.0,260,175.588021
2.0,214,177.66802
2.0,212,179.54002
5.0,320,182.942979
2.0,236,184.960682
6.0,419,189.767001
0.0,168,191.118376
1.0,190,192.783596
2.0,274,195.304045
5.0,340,199.014853
4.0,354,202.653694
0.0,165,203.945238
4.0,323,207.10884
2.0,225,209.24475
2.0,226,211.398587
7.0,402,215.91763
4.0,350,219.595422
5.0,383,223.503359
2.0,236,225.510695
4.0,316,229.107144
1.0,174,230.733256
3.0,236,233.056865
10.0,449,237.833285
3.0,289,240.624196
3.0,269,243.358955
5.0,362,247.320004
5.0,337,250.66339
0.0,142,251.762769
3.0,282,254.526892
0.0,161,255.753398
2.0,241,257.900956
2.0,220,259.884461
2.0,251,262.22471
6.0,400,266.412897
5.0,343,269.928066
1.0,211,271.67506
3.0,260,274.240969
4.0,312,327.706668
4.0,320,330.597957
7.0,412,334.98667
9.0,433,339.356425
4.0,333,342.573434
2.0,211,344.430344
6.0,395,348.383857
2.0,220,350.37304
7.0,411,354.80511
9.0,512,359.89263
6.0,400,364.034349
5.0,367,367.966029
5.0,338,371.331651
4.0,317,374.59521
1.0,183,376.173679
5.0,368,380.041771
11.0,526,386.221792
7.0,485,391.384517
6.0,363,394.776381
8.0,468,399.781532
5.0,373,403.619982
4.0,331,406.79276
7.0,439,411.579593
4.0,337,414.678923
7.0,402,418.88652
3.0,297,421.652268
11.0,493,426.651423
4.0,328,472.061682
11.0,481,476.63131
9.0,431,480.652168
7.0,466,485.154703
12.0,477,490.033635
8.0,497,494.975995
14.0,682,502.112296
15.0,543,507.641639
7.0,413,511.681431
11.0,488,516.371845
13.0,561,522.085502
12.0,549,527.64497
6.0,391,531.332531
14.0,519,536.46613
19.0,553,542.126086
8.0,510,547.141898
5.0,378,550.888629
10.0,463,555.475441
7.0,421,559.47297
11.0,459,563.992482
22.0,550,611.200647
10.0,456,615.534114
8.0,432,619.772809
9.0,502,624.577397
18.0,531,629.581114
16.0,565,634.745421
15.0,584,640.454842
10.0,535,645.405597
10.0,558,650.791658
10.0,450,654.872991
12.0,539,660.355349
13.0,574,666.278619
12.0,524,671.229127
13.0,530,676.293592
5.0,362,679.903584
12.0,524,685.055575
14.0,502,690.060141
21.0,634,696.506559
23.0,731,752.18287
17.0,603,758.101471
25.0,651,764.724447
19.0,641,771.200143
22.0,578,776.809084
18.0,571,782.483692
10.0,551,787.899131
12.0,565,793.450569
13.0,530,798.647831
16.0,716,805.797221
15.0,587,811.557836
14.0,551,817.067927
13.0,539,822.414953
24.0,630,828.748589
11.0,479,833.169914
22.0,706,881.531347
23.0,739,888.760004
19.0,691,895.513131
17.0,623,901.662817
23.0,599,907.675761
12.0,466,911.9358
17.0,609,917.854255
17.0,680,924.604591
19.0,606,930.764108
14.0,549,936.232362
21.0,703,943.345461
14.0,582,949.127543
25.0,665,955.594573
15.0,584,960.948754
18.0,513,965.843673
20.0,698,1014.739382
26.0,690,1021.309092
17.0,706,1028.242319
20.0,641,1034.632057
20.0,709,1041.598439
21.0,709,1048.545847
19.0,607,1054.387043
27.0,877,1063.304164
22.0,869,1072.012056
18.0,586,1077.741938
16.0,629,1083.99425
20.0,729,1091.07654
26.0,803,1099.015495
24.0,810,1146.826963
17.0,692,1153.58801
22.0,768,1161.099358
22.0,748,1168.510873
22.0,787,1176.369615
24.0,885,1185.139316
19.0,620,1190.963814
20.0,834,1199.376156
13.0,593,1204.963525
25.0,878,1213.685069
19.0,729,1220.838774
15.0,580,1226.506896
18.0,593,1273.476823
20.0,789,1281.15212
24.0,815,1288.999395
16.0,666,1295.357583
26.0,751,1302.735798
23.0,891,1311.713639
24.0,848,1320.082958
30.0,967,1329.536995
21.0,790,1337.587125
23.0,807,1345.481064
30.0,858,1354.177298
13.0,619,1360.054006
18.0,733,1406.637393
21.0,733,1413.842674
20.0,650,1420.025084
17.0,691,1426.703436
24.0,951,1436.126275
22.0,845,1444.461854
18.0,735,1451.569192
18.0,630,1457.773576
19.0,740,1465.133331
23.0,758,1472.780325
30.0,858,1481.460175
21.0,695,1488.263312
19.0,729,1535.552899
19.0,737,1542.957911
21.0,803,1550.81582
25.0,776,1558.420675
25.0,891,1567.438895
28.0,1013,1577.519733
20.0,765,1585.270503
27.0,854,1593.585035
21.0,856,1602.020592
9.0,473,1606.496932
19.0,770,1613.888291
25.0,921,1663.050198
20.0,784,1670.62399
28.0,1015,1680.562405
28.0,895,1689.427663
28.0,1003,1699.50966
22.0,894,1708.148866
29.0,984,1718.054415
28.0,893,1726.818762
24.0,984,1736.527533
27.0,808,1744.729784
25.0,998,1795.37298
26.0,812,1803.5372
29.0,982,1813.41738
28.0,754,1820.926541
30.0,963,1830.44498
28.0,1035,1840.75999
22.0,744,1848.099758
32.0,1043,1858.510549
27.0,945,1868.011029
24.0,882,1918.732759
20.0,818,1926.582417
28.0,873,1935.119269
28.0,1092,1946.295552
25.0,940,1955.916787
25.0,904,1964.920688
27.0,1078,1975.25821
27.0,963,1984.667284
30.0,1052,1995.207699
33.0,1084,2046.415345
28.0,794,2053.909454
4.0,325,2056.57164
20.0,799,2064.320788
23.0,796,2072.152889
41.0,1159,2083.918857
20.0,814,2091.82142
23.0,879,2100.67725
11.0,591,2106.174101
20.0,822,2114.16685
11.0,468,2118.522937
27.0,1080,2129.298098
31.0,1021,2179.936665
11.0,573,2185.352588
5.0,304,2188.070429
36.0,1214,2200.23518
19.0,673,2206.800409
23.0,978,2216.499638
17.0,650,2222.965997
23.0,877,2231.467095
6.0,396,2234.994407
32.0,1035,2245.378774
35.0,1129,2256.531524
23.0,822,2304.636838
32.0,931,2313.872384
15.0,699,2320.674667
22.0,875,2329.255258
46.0,1154,2340.64455
31.0,946,2349.865911
16.0,684,2356.273058
28.0,1069,2366.928417
29.0,978,2376.755225
32.0,901,2385.303942
39.0,1006,2436.103208
34.0,1068,2446.83697
25.0,989,2456.54643
43.0,1206,2468.351965
45.0,1215,2480.429079
47.0,1224,2492.702155
47.0,1133,2504.000374
48.0,1178,2555.477734
34.0,910,2564.283314
31.0,913,2573.374699
25.0,886,2581.892475
20.0,759,2589.034739
27.0,900,2597.652699
43.0,1065,2608.311425
40.0,1023,2618.427531
40.0,1074,2628.997709
31.0,940,2638.232199
44.0,1041,2688.186217
34.0,914,2697.303791
7.0,438,2701.198072
6.0,370,2704.656861
12.0,635,2710.581229
