#{"t_start": 1713771305.684599, "env_id": "BreakoutDeterministic-v4"}
r,l,t
0.0,182,5.867724
2.0,241,8.001402
1.0,212,10.121062
1.0,205,12.184547
0.0,166,13.676227
2.0,226,16.098463
2.0,220,18.202232
1.0,197,20.01438
0.0,177,21.393562
2.0,251,23.755064
0.0,160,25.167835
3.0,283,28.152175
0.0,173,29.531096
2.0,260,32.142929
0.0,174,33.470064
0.0,165,34.886647
2.0,218,37.018584
0.0,166,38.450889
2.0,239,40.987433
2.0,222,43.248274
0.0,177,44.674527
4.0,347,48.284727
4.0,338,51.885941
0.0,178,53.299377
1.0,213,55.220654
0.0,175,56.614997
1.0,215,58.612039
2.0,259,61.17284
3.0,293,64.044443
0.0,180,65.430738
2.0,214,67.636924
1.0,218,69.602602
3.0,275,72.458432
0.0,175,73.913792
2.0,275,76.607292
0.0,175,78.07824
2.0,243,80.498695
1.0,217,82.390648
1.0,182,84.309049
1.0,214,86.244384
0.0,147,87.615088
3.0,259,90.397177
1.0,186,92.206234
2.0,218,94.474832
1.0,210,96.341887
3.0,301,99.600939
0.0,154,100.93637
1.0,224,102.927682
4.0,314,106.187432
1.0,185,107.878992
4.0,318,111.302507
1.0,191,112.834779
2.0,237,115.04424
0.0,161,116.341887
0.0,165,117.735603
4.0,346,171.541319
1.0,206,173.159018
0.0,181,174.485133
2.0,228,176.701852
5.0,363,180.438434
2.0,248,182.826079
4.0,319,185.939502
5.0,389,190.509993
5.0,362,194.269949
1.0,190,195.879306
4.0,338,199.296255
1.0,184,201.007428
1.0,203,202.822349
3.0,278,205.703316
4.0,323,209.103858
1.0,203,210.877539
3.0,280,213.661453
3.0,268,216.350026
1.0,209,218.295855
2.0,236,220.293328
2.0,229,222.392255
1.0,174,223.970289
5.0,365,228.057533
0.0,177,229.45381
2.0,239,231.579252
3.0,259,234.185339
8.0,381,238.046919
3.0,283,240.742929
1.0,182,242.186612
3.0,268,244.805116
5.0,387,248.688184
2.0,224,250.863667
3.0,287,253.846563
5.0,343,257.349654
3.0,299,260.345248
6.0,408,264.675057
3.0,281,267.344871
5.0,339,270.815668
1.0,189,272.5007
3.0,251,274.786682
5.0,374,328.717193
7.0,425,332.981633
4.0,328,336.162863
5.0,342,339.548736
6.0,431,344.201387
3.0,314,347.037556
6.0,422,351.131463
1.0,207,352.840063
2.0,243,355.082577
6.0,429,359.08025
5.0,364,362.55964
4.0,333,365.989419
4.0,355,369.694234
6.0,370,373.793466
4.0,342,377.224755
4.0,369,381.046596
2.0,209,383.00665
4.0,319,386.235076
3.0,243,388.529417
4.0,322,391.720365
3.0,296,394.27071
5.0,379,398.134531
4.0,341,401.585952
5.0,338,404.774153
7.0,434,409.139373
7.0,416,413.444921
6.0,390,417.254225
0.0,158,418.439982
3.0,249,420.698655
6.0,430,424.94052
3.0,271,427.517406
13.0,557,475.263972
7.0,434,479.421485
11.0,498,484.193064
9.0,483,489.04481
6.0,362,492.394531
10.0,481,497.124441
9.0,532,502.681426
10.0,543,508.08001
12.0,533,513.613476
7.0,397,517.48651
4.0,298,520.023377
5.0,334,522.956686
12.0,536,528.43589
3.0,283,530.773796
10.0,543,536.226261
11.0,487,540.827669
11.0,490,545.778343
7.0,437,549.894516
7.0,405,553.85948
15.0,627,560.379314
10.0,456,564.76984
11.0,477,611.066885
21.0,669,617.742431
12.0,507,622.664416
5.0,357,625.733114
20.0,595,631.508474
