#{"t_start": 1713771306.560858, "env_id": "BreakoutDeterministic-v4"}
r,l,t
0.0,168,5.055862
2.0,229,7.024922
2.0,254,9.720131
3.0,276,12.999897
3.0,315,16.378633
4.0,322,19.783132
3.0,260,22.460045
0.0,164,23.85724
2.0,250,26.097261
0.0,160,27.518154
2.0,222,29.807663
1.0,206,31.625906
1.0,191,33.59888
1.0,206,35.592897
0.0,164,36.976619
5.0,344,40.980743
7.0,383,45.451436
3.0,285,48.625836
3.0,264,51.419004
2.0,219,53.692417
2.0,221,55.931581
0.0,147,57.29651
3.0,276,60.209734
1.0,202,61.862843
0.0,157,63.251933
2.0,240,65.588082
1.0,206,67.47266
0.0,182,68.949587
3.0,240,71.499479
1.0,189,73.341234
2.0,220,75.611245
1.0,192,77.581594
0.0,167,79.036553
0.0,155,80.383584
4.0,339,84.353641
1.0,212,86.324351
0.0,155,87.756548
2.0,258,90.24589
1.0,204,92.000136
0.0,156,93.386718
4.0,324,96.820786
2.0,238,99.083644
5.0,354,103.161374
0.0,167,104.577374
1.0,211,106.609457
3.0,270,109.419263
0.0,158,110.783892
2.0,260,113.328511
0.0,172,114.674186
1.0,209,116.629446
1.0,197,118.455741
1.0,182,170.034685
3.0,253,172.443801
0.0,159,173.72835
2.0,272,176.262043
3.0,284,178.83987
3.0,292,181.914479
1.0,196,183.632147
1.0,197,185.50321
6.0,384,189.797588
4.0,317,193.102962
5.0,372,196.962564
4.0,309,199.947212
7.0,464,205.255774
0.0,140,206.341004
7.0,412,210.93303
4.0,291,213.863067
2.0,232,216.183218
3.0,262,218.827368
10.0,436,223.588231
2.0,255,225.872258
5.0,336,229.854629
3.0,318,232.865463
1.0,199,234.434063
4.0,306,237.550517
5.0,348,241.358438
3.0,277,244.241965
4.0,310,247.332673
3.0,279,249.928972
6.0,357,253.659562
6.0,423,258.277114
4.0,319,261.690048
2.0,233,263.74881
4.0,296,266.824277
4.0,319,269.846246
4.0,330,273.08685
2.0,246,275.34073
8.0,507,331.108186
4.0,322,334.408852
3.0,299,337.174001
4.0,321,340.226074
5.0,369,343.789118
7.0,451,348.599679
5.0,421,352.75109
2.0,216,354.7267
3.0,313,357.43934
3.0,286,360.217773
1.0,204,361.799735
