#{"t_start": 1713771305.5627146, "env_id": "BreakoutDeterministic-v4"}
r,l,t
2.0,213,6.728484
3.0,276,9.619447
0.0,167,11.188022
2.0,229,13.678707
2.0,227,15.946697
2.0,256,18.581835
0.0,160,19.934003
5.0,352,23.696332
2.0,244,26.103289
0.0,162,27.356986
2.0,232,29.637882
0.0,152,30.952096
3.0,304,34.204208
1.0,204,36.008292
2.0,266,38.69694
1.0,199,40.587715
4.0,295,43.657199
1.0,221,45.582071
0.0,158,46.924124
1.0,203,48.746074
2.0,221,51.040336
2.0,235,53.344109
2.0,226,55.558152
0.0,174,56.986031
1.0,207,58.853319
0.0,141,60.049049
1.0,198,61.94897
2.0,248,64.384604
0.0,171,65.777631
1.0,185,67.487327
3.0,262,70.308513
6.0,447,75.620439
1.0,193,77.493979
2.0,234,79.982659
2.0,248,82.431588
0.0,181,83.980375
4.0,321,87.787189
3.0,278,90.765591
2.0,226,93.082223
2.0,246,95.378167
1.0,197,97.247935
3.0,295,100.356538
5.0,355,104.211141
2.0,265,106.770026
1.0,208,108.7823
1.0,192,110.684675
2.0,222,112.891762
4.0,294,116.114555
0.0,165,117.528633
0.0,183,118.904128
2.0,224,171.279864
5.0,359,174.94003
2.0,239,177.327631
5.0,323,180.680759
1.0,210,182.376439
4.0,359,186.179765
4.0,347,189.951934
1.0,215,191.869615
8.0,502,197.245897
0.0,167,198.443524
2.0,249,200.896704
3.0,251,203.350974
2.0,252,205.703736
4.0,338,209.097231
2.0,219,211.287201
1.0,218,213.204376
5.0,354,217.136071
3.0,296,220.196009
2.0,238,222.489944
1.0,229,224.406656
2.0,227,226.344321
0.0,174,227.725142
1.0,197,229.639688
2.0,239,231.931974
8.0,488,237.340312
2.0,244,239.7161
3.0,271,242.517841
2.0,229,244.686378
2.0,242,247.182893
5.0,387,250.965308
6.0,400,255.159052
1.0,193,256.718094
3.0,309,259.760069
6.0,364,263.721857
2.0,233,265.841857
0.0,170,266.986633
3.0,280,269.62662
4.0,299,272.778988
2.0,235,275.016939
5.0,380,329.165488
2.0,265,331.427445
8.0,462,336.269773
6.0,394,340.35972
4.0,344,343.546387
1.0,205,345.270636
5.0,350,348.529814
6.0,418,352.714493
2.0,224,354.444085
5.0,343,357.854615
5.0,367,361.452004
5.0,337,365.087176
7.0,474,370.162018
0.0,183,371.457408
5.0,346,374.916773
5.0,340,378.40203
7.0,421,383.008896
4.0,362,386.661367
6.0,374,390.377691
8.0,463,395.10359
7.0,439,399.549555
7.0,448,404.178291
5.0,341,407.618078
5.0,367,411.231327
4.0,312,414.094975
3.0,276,416.707422
9.0,443,421.188494
5.0,380,424.78615
7.0,356,428.469336
9.0,473,475.142305
5.0,374,478.771815
7.0,393,482.483439
3.0,286,485.046789
6.0,368,488.668121
8.0,440,492.910887
10.0,583,498.808665
13.0,474,503.532047
8.0,515,508.776903
6.0,379,512.203552
7.0,431,516.392579
12.0,582,522.431967
20.0,677,529.411716
2.0,220,531.144296
6.0,393,534.638989
3.0,281,537.305442
7.0,416,541.274452
15.0,521,546.61518
7.0,435,550.832572
12.0,594,556.921193
18.0,555,562.347733
6.0,386,607.985383
17.0,596,613.591624
19.0,688,620.688896
18.0,580,626.349303
18.0,545,631.497603
15.0,537,636.573425
14.0,611,642.499141
13.0,665,649.122437
15.0,525,654.102718
13.0,546,659.391632
11.0,563,664.965918
11.0,481,669.668388
11.0,476,674.288476
10.0,445,678.533548
13.0,525,683.960864
9.0,511,689.012007
15.0,637,695.232878
10.0,438,747.845545
7.0,423,751.884495
17.0,595,757.768233
11.0,572,763.537887
17.0,560,769.09057
14.0,673,776.033639
7.0,391,779.624377
22.0,658,786.24593
10.0,555,791.562212
22.0,701,798.511756
21.0,695,805.434248
11.0,598,811.551013
14.0,712,818.697659
14.0,607,824.559462
