#{"t_start": 1713771305.9316976, "env_id": "BreakoutDeterministic-v4"}
r,l,t
0.0,151,5.384279
0.0,162,6.619999
1.0,218,8.436732
0.0,134,9.585234
2.0,217,11.956516
4.0,313,15.648019
0.0,162,17.061322
0.0,172,18.426198
2.0,234,20.644549
3.0,236,23.014346
2.0,250,25.466745
0.0,160,26.836511
2.0,255,29.212855
2.0,256,31.71368
3.0,281,34.804751
3.0,287,37.812261
2.0,220,40.124641
1.0,193,42.085197
4.0,337,45.582315
0.0,157,46.940737
3.0,275,49.801895
2.0,241,52.108142
0.0,154,53.477716
1.0,202,55.214645
0.0,174,56.642406
3.0,292,59.934539
0.0,147,61.007932
2.0,231,63.398683
3.0,290,66.628529
2.0,237,69.155404
2.0,244,71.747792
1.0,210,73.779578
3.0,232,76.206666
2.0,223,78.400002
3.0,300,81.633002
0.0,171,83.121462
0.0,181,84.557114
1.0,191,86.539027
0.0,164,88.055093
3.0,284,90.974116
0.0,148,92.128343
4.0,307,95.55633
3.0,248,98.13443
1.0,222,100.115477
3.0,287,103.262182
2.0,220,105.488688
1.0,213,107.513216
3.0,267,110.331732
1.0,198,112.091043
0.0,179,113.419404
1.0,201,115.229853
1.0,199,117.055529
0.0,174,118.428317
0.0,155,169.970677
3.0,284,172.699292
2.0,227,174.884241
0.0,157,175.819658
3.0,270,178.440343
3.0,287,181.051473
9.0,434,185.969735
0.0,172,187.368004
2.0,241,189.53861
9.0,474,195.012944
4.0,321,198.247892
3.0,282,201.070229
2.0,260,203.673206
3.0,260,205.949108
3.0,304,209.154546
3.0,305,212.223872
1.0,197,214.035208
4.0,355,217.744817
3.0,283,220.492718
1.0,200,222.20491
0.0,170,223.52575
1.0,192,224.985294
5.0,368,229.046327
3.0,255,231.627707
2.0,241,233.725831
6.0,400,237.737847
3.0,303,240.791149
1.0,195,242.453901
3.0,319,245.654188
3.0,287,248.24836
5.0,353,251.854628
0.0,164,253.027963
2.0,211,255.010549
3.0,293,257.964223
1.0,196,259.722266
2.0,238,261.777061
7.0,426,266.256012
4.0,319,269.391079
0.0,171,270.727099
0.0,161,272.059458
2.0,246,274.163622
0.0,158,275.490539
2.0,231,327.848986
4.0,331,331.126721
11.0,471,336.203861
5.0,346,339.679087
3.0,283,342.377363
3.0,259,344.838758
2.0,247,346.859095
5.0,325,350.039237
7.0,454,354.766981
1.0,208,356.405612
4.0,295,359.097017
9.0,516,364.674329
7.0,409,369.091108
4.0,322,372.276537
8.0,466,377.395621
8.0,399,381.920555
5.0,381,385.931442
6.0,386,389.75718
2.0,244,391.790973
4.0,305,394.622628
6.0,390,398.546932
10.0,431,403.036017
2.0,267,405.252008
0.0,156,406.51008
3.0,294,409.488959
5.0,357,412.921969
5.0,332,416.199034
6.0,385,420.141744
13.0,595,426.48368
6.0,402,472.481076
13.0,590,478.52616
9.0,421,482.568577
6.0,379,486.394651
14.0,503,491.437858
4.0,316,494.168925
18.0,534,499.688196
10.0,455,504.032791
2.0,221,505.795325
3.0,276,508.062081
9.0,481,512.966463
6.0,366,516.369511
11.0,608,522.731327
11.0,508,527.757534
11.0,533,533.024553
14.0,522,538.188248
8.0,446,542.613837
5.0,338,545.761869
11.0,491,550.654385
9.0,436,554.801327
15.0,558,560.505849
6.0,430,564.811403
14.0,527,611.534678
17.0,670,618.490967
17.0,598,624.445507
14.0,607,630.344479
17.0,632,636.558169
18.0,664,642.968196
10.0,524,647.858357
17.0,618,653.82823
9.0,544,659.048815
21.0,755,666.892842
8.0,481,671.673706
8.0,445,676.003704
12.0,470,680.761811
19.0,647,687.513206
7.0,490,692.215515
15.0,600,698.401094
16.0,564,752.112478
