#{"t_start": 1713771305.8081768, "env_id": "BreakoutDeterministic-v4"}
r,l,t
0.0,174,5.765061
0.0,175,7.044635
1.0,206,8.933302
1.0,208,11.006423
0.0,157,12.466129
1.0,209,14.534991
3.0,272,17.410499
2.0,245,19.964442
1.0,209,21.818237
2.0,226,24.026767
2.0,253,26.443052
2.0,247,28.926314
1.0,199,30.837616
0.0,167,32.140194
4.0,336,35.783981
2.0,251,38.214626
1.0,199,40.107961
0.0,181,41.535051
1.0,215,43.629752
2.0,238,45.781661
1.0,210,47.514243
1.0,217,49.508698
3.0,312,52.835233
0.0,176,54.225303
3.0,261,57.078512
3.0,288,60.039279
2.0,246,62.510285
1.0,218,64.540912
1.0,201,66.246335
3.0,287,69.411743
0.0,169,70.830848
2.0,243,73.300189
1.0,216,75.179714
2.0,236,77.481349
1.0,212,79.369953
0.0,161,80.793331
5.0,364,84.919491
1.0,177,86.648476
2.0,214,88.992406
3.0,284,91.882439
0.0,175,93.295233
4.0,313,96.672769
1.0,197,98.512758
1.0,216,100.430186
2.0,206,102.494195
3.0,260,105.246229
3.0,280,108.256175
1.0,193,109.909584
1.0,204,111.790721
1.0,204,113.525063
2.0,252,116.002003
1.0,202,118.043039
2.0,265,170.753207
2.0,238,172.756531
4.0,345,176.401291
3.0,259,178.942688
2.0,234,180.979088
8.0,464,186.419078
2.0,236,188.746417
5.0,348,192.594972
2.0,221,194.579256
4.0,308,197.875568
2.0,239,199.906405
5.0,388,204.069436
1.0,185,205.597444
2.0,242,207.938681
2.0,247,210.209551
1.0,215,212.035332
2.0,227,214.222824
4.0,298,217.463497
6.0,393,221.505132
3.0,278,224.395969
1.0,180,225.641598
3.0,253,228.269085
4.0,311,231.397983
1.0,214,233.243482
2.0,232,235.069235
1.0,179,236.584377
4.0,346,240.080792
3.0,290,242.940684
3.0,319,246.028138
3.0,279,248.628607
6.0,388,252.699903
2.0,247,254.938669
6.0,435,259.990205
1.0,187,261.586073
0.0,144,262.530202
4.0,324,265.72187
6.0,383,269.696501
0.0,171,271.047227
3.0,259,273.513364
1.0,206,275.41607
5.0,368,329.434308
3.0,287,332.193024
4.0,325,335.3279
4.0,335,338.440253
4.0,310,341.443877
8.0,471,346.470069
9.0,403,350.623782
10.0,593,356.983111
2.0,248,359.073758
6.0,402,363.028634
8.0,454,368.04229
8.0,476,373.360181
3.0,288,376.071877
5.0,363,379.803023
2.0,229,381.94118
3.0,255,384.415306
3.0,290,387.13966
7.0,425,391.62135
6.0,399,395.472797
6.0,403,399.566078
5.0,349,403.02539
1.0,213,404.718916
2.0,248,406.916487
4.0,342,410.111473
8.0,507,415.327247
4.0,304,418.331935
5.0,383,421.977722
3.0,263,424.344506
8.0,479,471.481519
6.0,386,474.917829
5.0,382,478.341478
8.0,461,482.954305
9.0,502,488.141066
5.0,366,491.537594
7.0,425,495.571033
7.0,394,499.572724
7.0,416,503.650474
6.0,372,507.291161
10.0,445,511.57561
9.0,477,516.331568
12.0,513,521.416309
4.0,309,524.093462
3.0,250,526.263137
16.0,566,531.973093
7.0,431,536.03911
7.0,430,540.31494
7.0,424,544.396558
8.0,462,548.947896
6.0,386,552.485814
4.0,299,555.507497
1.0,198,556.992953
7.0,417,560.805982
12.0,591,608.46829
17.0,675,615.308443
12.0,507,620.128631
17.0,654,626.666914
19.0,559,631.880718
14.0,600,637.765284
9.0,499,642.358605
8.0,440,646.608003
9.0,501,651.288419
9.0,399,654.860206
10.0,560,660.477849
13.0,554,665.904342
13.0,543,671.342103
17.0,759,679.155154
10.0,451,683.45041
6.0,379,687.210786
9.0,405,691.063931
11.0,604,697.168893
19.0,678,752.333332
19.0,577,757.91707
8.0,500,762.818671
13.0,654,769.349834
15.0,536,774.654632
15.0,651,781.080595
28.0,779,789.071324
21.0,656,795.538919
12.0,499,800.304121
25.0,668,806.840664
9.0,492,811.763933
14.0,498,816.436363
18.0,646,822.966901
18.0,624,829.115719
15.0,620,835.157711
21.0,736,883.966882
15.0,605,889.856927
28.0,899,899.072449
9.0,476,903.755769
20.0,789,911.738633
23.0,697,918.85188
10.0,416,922.860096
18.0,514,927.96789
16.0,607,934.101488
13.0,700,940.975513
24.0,730,948.181855
27.0,805,956.327344
19.0,653,962.551145
17.0,690,969.287254
16.0,636,1017.240404
21.0,876,1025.962046
24.0,820,1034.465245
22.0,755,1042.018122
17.0,717,1049.1088
19.0,639,1055.350868
15.0,576,1060.996562
29.0,782,1068.911425
23.0,801,1076.92588
28.0,758,1084.404286
27.0,1007,1094.711115
24.0,652,1101.145307
27.0,858,1149.39084
21.0,870,1158.141842
17.0,654,1164.429536
16.0,602,1170.21474
17.0,668,1176.660451
23.0,785,1184.310592
19.0,737,1191.666652
21.0,703,1198.491319
29.0,819,1206.613734
32.0,826,1214.759087
23.0,678,1221.493552
24.0,894,1230.378957
35.0,1075,1282.269045
19.0,648,1288.413827
18.0,726,1295.511731
23.0,820,1303.66977
15.0,614,1309.374228
34.0,1062,1319.944055
26.0,940,1329.276255
27.0,950,1338.964028
27.0,877,1347.849779
26.0,919,1357.11315
20.0,821,1404.731074
20.0,843,1413.012169
16.0,654,1419.301771
13.0,678,1425.826781
25.0,792,1433.846336
21.0,739,1440.98361
23.0,821,1449.066846
19.0,731,1456.217805
25.0,855,1464.70321
20.0,812,1472.880174
25.0,896,1481.662343
15.0,574,1487.136845
23.0,919,1536.50523
20.0,801,1544.405665
21.0,868,1552.941986
30.0,982,1562.842776
20.0,755,1570.337626
19.0,798,1578.116761
26.0,912,1587.201979
17.0,659,1593.386525
21.0,694,1600.154601
19.0,753,1607.295636
16.0,653,1613.590347
31.0,1000,1663.58608
22.0,892,1672.253686
25.0,849,1680.459338
20.0,837,1688.481416
28.0,955,1697.866555
27.0,999,1707.825771
21.0,731,1714.91163
22.0,900,1723.979598
28.0,756,1731.351965
26.0,891,1740.311015
34.0,1064,1791.465719
29.0,1036,1802.023624
35.0,1031,1812.348401
26.0,767,1819.923357
34.0,967,1829.341284
16.0,640,1835.393257
27.0,724,1842.537985
23.0,966,1852.120853
34.0,1016,1862.250748
24.0,866,1870.599508
39.0,1170,1924.133377
36.0,982,1933.834033
21.0,823,1941.97748
29.0,927,1951.165415
34.0,1078,1962.210979
27.0,956,1971.737978
37.0,1136,1982.708064
20.0,775,1990.190392
35.0,1037,2000.621709
25.0,1010,2051.018183
29.0,1042,2061.606726
28.0,1078,2072.439598
3.0,271,2074.595821
26.0,1036,2084.976232
20.0,772,2092.506572
23.0,835,2100.764551
22.0,757,2108.351965
25.0,967,2118.055974
