#{"t_start": 1713771305.0565004, "env_id": "BreakoutDeterministic-v4"}
r,l,t
0.0,175,6.459178
0.0,146,7.679078
2.0,236,10.1786
1.0,211,12.125151
0.0,165,13.646392
2.0,259,16.276207
4.0,292,19.545945
3.0,264,22.392707
2.0,237,24.58032
0.0,162,25.983038
2.0,259,28.407087
0.0,166,29.803133
0.0,160,31.199198
2.0,228,33.572781
1.0,183,35.287757
3.0,267,37.943516
5.0,341,41.709448
2.0,245,44.461076
3.0,308,47.602908
3.0,267,50.313164
1.0,205,52.162866
2.0,261,54.83454
2.0,268,57.471747
0.0,136,58.606128
0.0,168,60.047206
1.0,190,61.853166
2.0,224,64.147277
1.0,200,66.145523
2.0,242,68.636239
0.0,169,70.074987
2.0,226,72.449463
2.0,244,74.755938
1.0,208,76.490697
1.0,187,78.389561
1.0,201,80.18135
3.0,289,83.454621
1.0,212,85.481469
1.0,212,87.313372
2.0,247,89.942062
2.0,236,92.303246
2.0,249,94.750389
4.0,303,97.995763
3.0,309,101.143719
2.0,225,103.42319
2.0,228,105.720162
1.0,200,107.821614
1.0,199,109.536038
4.0,320,112.854736
1.0,204,114.692315
1.0,202,116.686598
1.0,217,118.716564
3.0,277,171.400014
5.0,357,175.092881
2.0,223,177.217253
2.0,212,179.274947
4.0,318,182.288135
5.0,331,185.571144
1.0,194,187.144636
3.0,274,189.954926
3.0,293,192.765533
3.0,273,195.443076
1.0,189,197.098275
8.0,464,202.140625
1.0,216,203.956645
3.0,283,206.788545
3.0,300,209.649811
2.0,241,211.856563
2.0,237,214.009455
1.0,184,215.649946
2.0,247,217.860629
5.0,384,221.832743
2.0,229,223.931314
4.0,295,226.824126
2.0,223,229.237271
5.0,377,233.236978
3.0,308,236.145428
5.0,332,239.613125
2.0,226,241.976449
4.0,335,245.300204
0.0,180,246.625537
3.0,287,249.486494
5.0,372,253.320487
3.0,283,255.938966
5.0,378,259.864731
7.0,395,264.153952
2.0,212,266.154374
4.0,311,269.317409
5.0,358,273.179216
0.0,151,274.188832
3.0,308,277.357072
6.0,383,331.296038
7.0,407,335.439925
12.0,530,341.023778
0.0,161,342.27758
6.0,379,346.066009
6.0,367,349.809809
4.0,333,352.909467
5.0,382,356.710281
4.0,323,359.485307
7.0,489,364.564825
8.0,430,369.197248
10.0,590,375.786571
5.0,366,379.596957
4.0,314,383.082991
4.0,324,386.41322
6.0,355,390.115982
5.0,354,393.694836
4.0,328,397.067784
6.0,351,400.583309
6.0,380,404.439234
3.0,316,407.340092
7.0,488,412.421379
6.0,407,416.16953
6.0,403,420.234684
0.0,154,421.461879
6.0,409,425.689579
4.0,306,428.722613
7.0,406,474.543834
4.0,330,477.432351
5.0,353,480.620219
13.0,502,485.526896
7.0,465,490.133675
5.0,391,493.7393
2.0,214,495.441204
6.0,404,499.233949
10.0,544,504.639975
10.0,449,508.982793
8.0,462,513.470787
5.0,356,516.560945
4.0,313,519.319701
11.0,612,525.62134
13.0,578,531.57211
9.0,518,536.614587
13.0,538,541.912743
6.0,378,545.536262
10.0,535,551.046231
13.0,473,555.85306
14.0,584,561.915099
14.0,572,609.390793
7.0,442,613.388338
14.0,500,618.348772
13.0,521,623.569316
14.0,550,628.927133
11.0,457,632.976506
10.0,571,638.367567
10.0,455,642.323548
14.0,481,647.049451
6.0,374,650.471748
11.0,484,654.8953
7.0,420,658.699925
10.0,536,664.276178
12.0,632,670.502717
17.0,712,677.619195
19.0,571,683.398288
10.0,596,689.443712
16.0,696,696.330697
12.0,499,749.731794
20.0,699,756.586119
9.0,484,761.211417
7.0,420,764.923595
18.0,645,771.327934
19.0,633,777.855324
21.0,642,784.218628
28.0,762,791.863899
19.0,564,797.303969
17.0,620,803.478478
15.0,476,808.123869
13.0,544,813.645753
19.0,692,820.681744
19.0,660,827.354352
22.0,677,834.118187
22.0,701,882.419452
23.0,734,889.678492
7.0,415,893.431244
16.0,668,899.868332
30.0,967,909.703834
13.0,546,914.847109
16.0,577,920.45898
28.0,746,927.996763
22.0,671,934.64534
18.0,779,942.556718
24.0,709,949.580906
14.0,651,956.039203
15.0,539,961.068899
28.0,748,968.439387
24.0,869,1019.083609
24.0,719,1026.054393
16.0,674,1032.747428
24.0,753,1039.963481
18.0,741,1047.444017
22.0,737,1054.715276
26.0,811,1063.002712
14.0,664,1069.449599
13.0,624,1075.598914
21.0,769,1083.190499
19.0,732,1090.258672
26.0,877,1098.893317
18.0,568,1144.171397
21.0,692,1151.0251
19.0,821,1159.109776
17.0,648,1165.494838
27.0,740,1172.575805
24.0,719,1179.638426
17.0,746,1186.944717
14.0,584,1192.636697
14.0,714,1199.618047
19.0,751,1207.08345
26.0,1006,1217.266475
30.0,968,1226.99245
13.0,602,1274.078329
25.0,821,1281.989921
22.0,756,1289.444259
17.0,698,1296.156673
29.0,813,1304.138103
