#{"t_start": 1713771306.178792, "env_id": "BreakoutDeterministic-v4"}
r,l,t
0.0,178,5.41827
0.0,164,6.701715
1.0,194,8.212055
0.0,154,9.712617
0.0,170,11.216031
2.0,269,14.109526
0.0,180,15.549178
1.0,216,17.532787
1.0,208,19.267269
3.0,278,22.139449
2.0,231,24.414572
1.0,208,26.23825
1.0,201,28.164527
3.0,272,31.191546
1.0,210,33.145869
0.0,166,34.578069
1.0,215,36.419462
0.0,144,37.629967
2.0,206,39.674156
0.0,182,41.106851
0.0,158,42.618128
5.0,320,46.151813
2.0,256,48.653032
3.0,294,51.989896
3.0,253,54.548748
2.0,225,56.851466
1.0,206,58.800116
2.0,256,61.500087
3.0,279,64.391917
0.0,173,65.812989
2.0,251,68.490303
3.0,265,71.248506
0.0,163,72.595543
1.0,197,74.487682
1.0,202,76.59808
1.0,194,78.513204
3.0,271,81.532058
2.0,253,84.084371
1.0,205,86.035817
1.0,201,87.997657
2.0,259,90.496989
0.0,164,91.903031
0.0,158,93.282346
3.0,258,96.093367
2.0,236,98.35199
3.0,264,101.164858
0.0,172,102.564773
1.0,199,104.498343
2.0,258,107.10535
1.0,209,109.112269
1.0,204,110.98428
4.0,341,114.49705
2.0,237,117.062145
2.0,255,169.86696
4.0,295,172.869356
2.0,239,175.142182
3.0,251,177.607489
5.0,363,181.406546
2.0,233,183.573454
4.0,351,187.370213
3.0,284,190.287872
3.0,263,192.881263
6.0,399,196.977241
4.0,302,199.962035
1.0,201,201.637454
1.0,202,203.452915
5.0,387,207.322387
0.0,135,208.326762
2.0,269,210.857724
3.0,280,213.528013
5.0,386,217.657652
2.0,252,220.081504
4.0,315,223.345701
2.0,208,225.163146
3.0,281,228.269804
2.0,239,230.371047
2.0,265,232.695991
3.0,275,235.241157
3.0,232,237.3627
1.0,204,239.214792
4.0,352,242.949366
4.0,330,246.27886
3.0,276,249.04215
1.0,209,250.699986
2.0,224,252.794788
2.0,231,254.928033
2.0,254,257.533251
4.0,323,260.984513
1.0,211,262.602413
4.0,324,265.949994
1.0,201,267.678658
4.0,313,270.843003
4.0,331,274.190788
2.0,235,276.193028
6.0,453,331.181891
5.0,363,334.697466
6.0,413,339.008388
1.0,187,340.544298
6.0,357,344.058675
2.0,264,346.352654
8.0,364,350.042651
6.0,430,354.53689
3.0,271,356.809788
3.0,321,359.690585
4.0,306,362.498577
9.0,416,367.044261
4.0,298,370.015806
4.0,310,373.332782
6.0,366,377.291612
7.0,437,382.037119
4.0,295,384.981053
5.0,374,388.947863
7.0,398,392.778009
2.0,240,394.86751
6.0,405,399.003242
2.0,215,400.968873
7.0,408,405.150312
2.0,244,407.520829
4.0,299,410.328968
10.0,557,416.254467
1.0,186,417.837788
4.0,348,421.118633
6.0,385,424.987378
7.0,456,471.781223
10.0,529,476.950418
7.0,479,481.656032
5.0,363,485.221703
7.0,439,489.647902
4.0,348,492.939561
6.0,354,496.34646
12.0,597,502.57641
9.0,478,507.537468
6.0,381,511.301059
8.0,446,515.537369
4.0,307,518.403915
6.0,423,522.622773
9.0,497,527.447361
6.0,384,531.085763
6.0,421,534.829557
6.0,377,538.303083
2.0,241,540.047423
8.0,450,544.61306
6.0,369,548.13793
10.0,424,552.374464
16.0,556,558.280933
15.0,529,563.591082
17.0,612,611.321898
10.0,506,616.277184
19.0,572,621.910643
10.0,437,625.979864
14.0,502,630.622838
9.0,448,634.778905
14.0,710,641.548608
7.0,406,645.431352
6.0,382,649.149847
11.0,570,654.664995
13.0,480,659.283293
8.0,421,663.496881
13.0,543,668.942579
16.0,578,674.610429
10.0,506,679.587888
8.0,447,683.919982
11.0,497,688.86151
11.0,458,693.325585
12.0,615,748.091188
23.0,712,754.965979
13.0,655,761.603902
16.0,564,767.026295
9.0,506,771.68056
21.0,663,778.370093
15.0,613,784.409662
13.0,537,789.49436
17.0,627,795.554855
11.0,583,801.204465
14.0,573,806.752829
13.0,461,811.253697
12.0,580,816.808669
14.0,619,823.115521
25.0,753,830.68437
12.0,492,835.47909
13.0,616,882.575618
23.0,705,889.506959
22.0,661,896.172886
