#{"t_start": 1713771305.438327, "env_id": "BreakoutDeterministic-v4"}
r,l,t
0.0,170,5.975414
3.0,287,8.835421
1.0,198,10.949007
1.0,194,12.967488
1.0,190,14.730967
3.0,271,17.608722
3.0,297,20.507702
2.0,231,22.705815
2.0,227,24.927555
0.0,180,26.333554
3.0,271,29.159928
2.0,245,31.57764
2.0,268,34.257242
0.0,163,35.563093
4.0,339,39.125407
0.0,156,40.536882
1.0,192,42.506309
0.0,158,43.97371
5.0,383,48.078251
3.0,286,51.242847
1.0,204,53.020631
1.0,189,54.779428
2.0,251,57.513822
3.0,262,60.294925
3.0,295,63.431844
0.0,181,64.839458
0.0,146,66.132069
3.0,284,69.193631
1.0,221,71.127484
1.0,200,73.036964
2.0,251,75.729693
0.0,136,76.836339
0.0,151,78.193299
1.0,200,80.09384
1.0,200,82.108106
0.0,155,83.58877
2.0,230,85.870138
1.0,219,87.838691
5.0,351,91.821219
4.0,311,95.164814
0.0,160,96.515736
1.0,207,98.292922
0.0,158,99.726708
0.0,177,101.056815
2.0,231,103.237797
1.0,183,104.939127
1.0,219,106.880855
1.0,190,108.891978
0.0,161,110.261678
2.0,224,112.553375
1.0,219,114.376106
2.0,240,116.846998
6.0,427,171.768459
2.0,227,173.796884
4.0,322,177.030877
3.0,282,179.649933
5.0,377,183.813201
3.0,292,187.021534
2.0,240,189.47942
0.0,147,190.735572
1.0,197,192.406947
2.0,239,194.458052
3.0,277,197.160311
3.0,249,199.590105
3.0,282,202.419561
0.0,175,203.709673
4.0,329,206.999622
1.0,185,208.644877
0.0,177,210.081524
2.0,258,212.596347
3.0,264,215.023539
2.0,245,217.172822
1.0,207,219.100652
1.0,211,220.788006
3.0,307,223.888732
7.0,476,229.590387
7.0,451,234.410532
2.0,261,236.803339
5.0,374,240.777354
5.0,364,244.670886
2.0,256,246.973932
3.0,261,249.235366
2.0,231,251.296932
8.0,464,256.281887
2.0,238,258.394036
4.0,335,261.860466
5.0,324,265.05732
5.0,345,268.71994
4.0,317,271.807922
6.0,380,275.760961
0.0,141,276.629357
6.0,345,330.275142
7.0,419,334.670333
3.0,264,337.148716
1.0,200,338.56786
8.0,515,343.931765
4.0,317,347.129295
9.0,482,352.295182
6.0,361,356.057801
3.0,312,358.777944
7.0,359,362.303065
2.0,221,364.129033
4.0,324,367.490702
7.0,464,372.441661
5.0,360,376.219879
7.0,474,381.353704
12.0,519,387.14853
3.0,265,389.603204
8.0,505,394.755861
3.0,262,397.10638
6.0,404,401.216055
8.0,509,406.470352
1.0,191,408.097916
1.0,202,409.650569
5.0,356,413.104962
5.0,330,416.34999
5.0,368,420.162126
3.0,285,422.738851
6.0,404,426.817726
7.0,452,473.460576
8.0,464,477.848977
11.0,548,483.467966
8.0,495,488.564171
7.0,416,492.586139
8.0,478,497.545078
5.0,365,500.966992
6.0,398,504.797265
7.0,450,509.164671
11.0,522,514.309193
10.0,533,519.626259
7.0,417,523.600805
10.0,459,527.994673
15.0,539,533.2423
7.0,427,537.410542
12.0,524,542.610976
6.0,365,546.0047
6.0,381,549.59705
14.0,547,555.415855
6.0,396,559.15371
15.0,533,564.500063
12.0,521,611.284775
11.0,623,617.39981
18.0,641,623.822116
21.0,621,629.993863
8.0,458,633.935291
12.0,495,638.798598
12.0,519,643.640603
11.0,587,649.401405
18.0,527,654.28936
11.0,503,659.03611
17.0,637,665.542106
17.0,714,672.752657
11.0,631,679.292373
9.0,446,683.741766
15.0,630,690.174812
14.0,616,696.404811
14.0,640,751.219855
17.0,617,757.126394
18.0,626,763.288035
18.0,689,770.025594
8.0,463,774.242335
22.0,681,780.973741
18.0,580,786.843063
13.0,575,792.431008
17.0,671,799.159751
14.0,675,805.910956
16.0,672,812.733466
14.0,553,818.263764
17.0,598,824.119027
12.0,510,828.924526
16.0,571,834.411833
13.0,580,881.30553
12.0,500,885.82598
18.0,635,892.082299
26.0,721,899.163785
19.0,630,905.538852
19.0,625,911.692864
19.0,838,920.377631
14.0,580,926.03695
21.0,758,933.614442
28.0,953,943.361229
12.0,593,949.354863
12.0,612,955.374669
13.0,657,961.745338
23.0,713,968.662318
21.0,823,1018.657111
27.0,876,1027.479738
18.0,636,1033.806126
13.0,526,1038.678974
16.0,602,1044.519263
28.0,806,1052.420673
20.0,676,1058.890585
24.0,838,1067.50669
23.0,675,1074.262599
11.0,576,1079.741288
11.0,541,1084.818099
18.0,728,1091.875483
15.0,647,1098.101367
28.0,779,1145.40174
19.0,727,1152.581245
18.0,731,1159.788311
28.0,771,1167.396781
22.0,867,1175.917825
21.0,657,1182.260804
23.0,776,1189.945094
22.0,879,1198.834578
23.0,854,1207.335501
26.0,848,1215.754138
21.0,745,1222.949814
23.0,868,1272.871633
28.0,841,1281.2115
27.0,855,1289.819225
27.0,876,1298.598207
24.0,825,1306.834716
26.0,944,1316.26648
22.0,762,1323.812883
25.0,745,1330.975298
15.0,559,1336.574511
21.0,762,1343.961626
22.0,804,1351.914394
20.0,828,1360.063752
21.0,835,1408.059808
19.0,766,1415.661059
18.0,729,1422.80755
20.0,707,1429.652251
24.0,834,1437.910378
23.0,829,1446.00133
20.0,725,1453.177159
20.0,664,1459.719698
24.0,831,1468.025238
20.0,642,1474.180104
24.0,858,1482.774073
22.0,793,1530.778711
21.0,827,1538.932793
18.0,690,1545.783044
18.0,757,1553.118588
23.0,888,1561.885585
22.0,871,1570.572915
22.0,776,1578.133117
16.0,620,1584.324475
20.0,794,1591.897229
24.0,773,1599.506769
27.0,965,1609.005277
19.0,728,1616.123907
15.0,598,1661.880295
21.0,729,1668.62002
24.0,960,1678.141736
31.0,1014,1688.198277
24.0,864,1696.616287
28.0,912,1705.521986
33.0,1018,1715.717219
23.0,911,1724.726357
20.0,743,1731.848388
27.0,977,1741.642733
28.0,1042,1792.704571
26.0,1037,1803.041863
35.0,1069,1813.854996
29.0,986,1823.840038
21.0,834,1832.095613
23.0,946,1841.58887
15.0,584,1847.21905
18.0,742,1854.461645
23.0,821,1862.589031
24.0,974,1872.165082
25.0,918,1922.956894
30.0,1021,1933.357883
33.0,1043,1943.863434
24.0,942,1953.330036
41.0,1245,1966.187393
31.0,965,1975.461651
21.0,858,1983.598603
24.0,1008,1993.54365
35.0,1023,2003.704866
29.0,1042,2054.274437
29.0,1058,2065.008103
25.0,982,2074.641469
22.0,917,2083.494688
33.0,955,2092.935666
28.0,992,2102.745965
39.0,1182,2114.713174
20.0,706,2121.471869
19.0,744,2128.602605
33.0,934,2178.342902
29.0,937,2187.607518
28.0,1018,2197.916865
20.0,741,2205.287031
25.0,906,2214.483276
35.0,1005,2224.607936
18.0,705,2231.251535
20.0,800,2238.984591
25.0,933,2248.132382
26.0,934,2257.54784
44.0,995,2307.500701
54.0,1268,2320.137613
26.0,871,2328.763585
28.0,1015,2338.839681
40.0,1023,2348.937185
33.0,1007,2358.824687
8.0,492,2363.127517
42.0,1153,2374.745739
52.0,1148,2386.046998
31.0,929,2435.829881
27.0,885,2444.396863
33.0,1035,2454.700747
35.0,1081,2465.225263
31.0,871,2473.784062
33.0,1022,2483.734882
40.0,1085,2494.544713
44.0,1321,2507.8925
31.0,922,2556.627799
31.0,910,2565.531348
49.0,1191,2577.351701
44.0,1044,2587.711238
31.0,946,2596.943
34.0,932,2606.057163
37.0,926,2615.113852
41.0,1050,2625.59834
29.0,818,2633.615385
41.0,944,2682.339143
3.0,323,2684.944744
27.0,885,2693.911819
31.0,930,2703.377454
33.0,991,2713.137777
12.0,487,2717.791938
34.0,937,2727.137138
56.0,1267,2740.128875
16.0,560,2745.507644
40.0,1068,2756.577981
8.0,436,2760.532445
37.0,1032,2810.979718
53.0,1263,2823.687025
11.0,549,2828.607155
9.0,462,2832.95319
36.0,1048,2843.272512
3.0,302,2845.696462
7.0,425,2849.508057
16.0,651,2855.614996
50.0,1114,2866.886725
19.0,655,2873.364596
11.0,565,2878.623944
29.0,964,2888.165349
15.0,616,2894.103583
3.0,283,2896.507183
63.0,1299,2948.742014
47.0,1149,2960.072075
54.0,1178,2971.859254
6.0,409,2975.497393
46.0,1069,2986.019911
50.0,1127,2997.052999
53.0,1147,3008.331175
44.0,1047,3018.602291
67.0,1186,3072.794908
53.0,1175,3084.756702
42.0,1105,3095.705607
57.0,1249,3108.194763
57.0,1232,3120.432861
21.0,762,3127.640905
22.0,805,3135.286584
59.0,1245,3147.552871
47.0,1111,3197.595147
59.0,1210,3209.555645
11.0,464,3213.610564
49.0,1058,3224.023384
55.0,1199,3235.898507
50.0,1109,3246.754427
54.0,1239,3259.173074
