#{"t_start": 1713771306.690852, "env_id": "BreakoutDeterministic-v4"}
r,l,t
0.0,160,4.946774
1.0,216,6.647903
0.0,163,8.082124
0.0,163,9.601323
2.0,259,12.437117
0.0,163,13.988433
1.0,202,15.849601
0.0,174,17.152566
0.0,163,18.504025
3.0,290,21.399449
2.0,240,23.760081
2.0,220,25.856225
4.0,286,28.920147
0.0,181,30.366972
2.0,250,32.871501
2.0,223,35.076673
2.0,255,37.524181
3.0,302,40.863997
0.0,154,42.328308
2.0,247,44.524993
1.0,207,46.25628
1.0,220,48.160324
4.0,329,51.854135
3.0,276,54.812192
2.0,234,57.187169
0.0,178,58.606704
2.0,246,61.01577
3.0,296,64.320191
2.0,241,66.670862
1.0,221,68.75153
3.0,278,71.551413
4.0,304,75.023368
3.0,290,78.415751
1.0,195,80.333009
1.0,210,82.30223
2.0,239,84.902037
1.0,192,86.882088
2.0,262,89.488363
2.0,258,92.153888
3.0,284,95.009444
2.0,258,97.446787
2.0,216,99.620104
0.0,161,100.96382
4.0,335,104.57007
0.0,176,106.049248
0.0,161,107.50394
4.0,298,110.536973
1.0,202,112.429169
2.0,254,114.852741
1.0,215,116.785437
6.0,423,171.53947
1.0,203,173.434343
4.0,314,176.770445
3.0,272,179.336905
3.0,282,182.225852
4.0,325,185.569576
1.0,220,187.491627
2.0,237,189.907492
2.0,262,192.40447
1.0,192,194.156695
3.0,264,196.635763
4.0,347,200.174469
2.0,223,202.416313
1.0,224,204.313965
5.0,362,208.313247
1.0,215,210.075016
6.0,396,214.370366
2.0,243,216.674688
2.0,225,218.647166
1.0,172,220.11555
2.0,246,222.276555
3.0,259,224.877114
0.0,175,226.237964
4.0,366,230.25102
3.0,247,232.678945
1.0,190,234.362192
2.0,218,236.290788
2.0,258,238.550132
0.0,162,239.875727
6.0,375,244.005677
2.0,271,246.51743
4.0,332,249.883925
1.0,195,251.525824
5.0,342,255.227737
1.0,207,256.976674
1.0,190,258.587636
1.0,229,260.504284
1.0,218,262.293638
5.0,374,266.111251
6.0,408,270.598293
2.0,248,272.9839
0.0,149,274.134843
5.0,337,327.855317
6.0,459,332.608311
4.0,345,336.083613
7.0,452,340.724999
4.0,342,343.901028
7.0,416,348.058077
2.0,239,350.042769
6.0,392,354.237503
8.0,453,358.850257
6.0,460,363.73123
5.0,372,367.44286
7.0,478,372.703566
9.0,440,377.469559
8.0,441,382.467181
0.0,168,383.746005
7.0,425,388.094274
6.0,368,391.807811
4.0,332,395.114644
3.0,271,397.56853
4.0,316,400.614063
6.0,411,404.700952
5.0,363,408.360341
6.0,371,412.078002
5.0,336,415.399815
5.0,338,418.727551
3.0,262,421.122941
6.0,381,425.092169
7.0,421,471.5407
14.0,512,476.550089
6.0,371,479.885976
14.0,502,484.958095
10.0,441,489.385551
9.0,409,493.439431
6.0,406,497.526075
7.0,449,502.119191
7.0,378,505.862818
10.0,587,511.756867
19.0,585,517.532836
10.0,439,522.016424
4.0,293,524.619797
8.0,498,529.49249
8.0,444,533.64654
6.0,370,537.304469
6.0,403,541.146117
9.0,538,546.526235
16.0,570,552.255513
3.0,305,555.106548
10.0,590,561.059174
5.0,331,564.248066
9.0,502,610.834873
13.0,579,616.554942
17.0,628,622.687146
16.0,738,629.915334
9.0,506,634.768813
20.0,705,641.738754
15.0,540,647.128343
8.0,490,651.788914
13.0,591,657.651409
21.0,670,664.492717
12.0,519,669.637593
17.0,637,676.159471
10.0,432,680.506042
14.0,482,685.370539
10.0,547,690.951188
11.0,478,695.620659
13.0,700,750.977609
23.0,831,759.641801
25.0,676,766.186432
16.0,565,771.817996
22.0,674,778.638485
25.0,665,785.260319
14.0,585,791.096052
16.0,584,796.819607
15.0,539,802.004639
18.0,528,807.290513
14.0,566,812.859776
21.0,635,819.310103
9.0,512,824.205216
20.0,623,830.286063
22.0,705,837.177816
14.0,704,885.274642
19.0,576,890.909011
11.0,604,896.883628
21.0,732,904.371208
19.0,536,909.548119
27.0,709,916.65125
20.0,746,924.296495
19.0,664,930.893572
19.0,700,937.872427
17.0,660,944.461749
20.0,618,950.447216
27.0,745,957.768125
16.0,551,962.918241
17.0,712,1012.055873
12.0,489,1016.559664
17.0,706,1023.447232
22.0,675,1030.321754
24.0,880,1038.976331
12.0,602,1044.836954
18.0,717,1051.757117
