#{"t_start": 1713771306.8165581, "env_id": "BreakoutDeterministic-v4"}
r,l,t
0.0,173,4.636403
1.0,197,6.413884
3.0,262,9.275691
2.0,210,11.496763
1.0,208,13.394136
2.0,232,15.747851
4.0,336,19.544922
0.0,146,20.768571
2.0,230,22.975145
0.0,159,24.269198
2.0,243,26.883783
2.0,231,29.057719
2.0,243,31.384578
1.0,198,33.210103
2.0,246,35.498178
0.0,169,36.881904
0.0,157,38.224132
4.0,319,41.878079
3.0,258,44.466251
2.0,224,46.463077
0.0,162,47.839642
0.0,177,49.211569
0.0,178,50.603128
2.0,225,52.935583
3.0,273,55.847643
0.0,166,57.277455
1.0,191,59.140949
1.0,185,60.902711
1.0,207,62.767822
3.0,266,65.553044
1.0,204,67.458471
3.0,276,70.363916
1.0,188,72.150959
3.0,270,75.00598
0.0,177,76.510516
1.0,190,78.387807
2.0,251,80.98263
2.0,247,83.515013
3.0,281,86.61824
0.0,165,88.147826
1.0,203,89.933674
0.0,175,91.32939
0.0,176,92.709833
0.0,172,94.075264
4.0,320,97.556147
2.0,251,100.308592
4.0,309,103.714587
2.0,223,105.984824
0.0,174,107.439485
1.0,206,109.338388
3.0,285,112.140342
3.0,270,114.894668
2.0,249,117.361643
2.0,223,169.694692
2.0,227,171.500066
5.0,348,175.268097
1.0,194,177.093374
4.0,300,180.12183
1.0,197,181.866601
3.0,254,184.40015
1.0,206,186.270958
3.0,258,188.952992
2.0,242,191.111401
4.0,323,194.388438
4.0,309,197.485482
0.0,147,198.580734
1.0,197,200.435328
3.0,305,203.644381
1.0,201,205.477394
3.0,279,208.303049
5.0,348,212.029694
4.0,346,215.645317
2.0,248,217.857906
2.0,251,220.200149
3.0,297,222.991649
4.0,328,226.312737
1.0,215,228.468176
2.0,273,230.901255
1.0,207,232.565559
1.0,173,233.905473
5.0,401,237.986889
6.0,398,242.483642
6.0,421,246.913877
5.0,356,250.600353
6.0,387,254.66521
0.0,162,255.850024
0.0,171,257.15959
2.0,222,259.264778
5.0,373,263.009787
4.0,322,266.165913
4.0,329,269.332059
4.0,304,272.361834
3.0,278,275.283374
3.0,248,327.785737
1.0,219,329.304955
6.0,392,333.217167
1.0,196,334.979954
10.0,464,339.999408
11.0,479,345.097864
4.0,349,348.370655
2.0,196,350.037663
2.0,231,351.883012
4.0,286,354.572141
6.0,415,358.673763
7.0,450,363.541836
4.0,314,366.690452
7.0,391,370.846208
6.0,403,375.123193
5.0,359,378.968375
7.0,450,383.935271
5.0,357,387.514752
3.0,311,390.356128
13.0,509,395.692338
1.0,207,397.531518
6.0,409,401.709885
7.0,404,405.691468
9.0,460,410.522921
6.0,406,414.273027
4.0,314,417.229323
5.0,356,420.843232
4.0,292,423.566055
2.0,247,425.837699
5.0,317,470.942425
14.0,593,476.833916
6.0,393,480.456055
9.0,498,485.422157
2.0,217,487.28579
7.0,475,492.079397
12.0,524,497.305586
7.0,371,500.993032
14.0,488,505.801611
7.0,401,509.760003
11.0,646,516.486034
8.0,481,521.395865
4.0,292,524.000383
11.0,470,528.659651
19.0,571,534.122631
2.0,260,536.425699
12.0,537,541.760735
13.0,591,547.733879
16.0,586,553.808305
5.0,371,557.278047
8.0,497,562.083536
