#{"t_start": 1713771306.3126822, "env_id": "BreakoutDeterministic-v4"}
r,l,t
3.0,308,6.893413
0.0,172,8.322221
2.0,233,10.909413
1.0,219,12.962111
2.0,230,15.341163
2.0,245,17.635931
1.0,208,19.486343
0.0,177,20.84022
1.0,193,22.537174
0.0,166,23.795805
0.0,173,25.206792
1.0,206,26.95507
2.0,242,29.432019
1.0,204,31.355711
1.0,174,33.076151
3.0,270,35.889201
4.0,331,39.689341
2.0,225,41.974541
3.0,319,45.220013
4.0,313,48.749017
1.0,198,50.491873
3.0,298,53.670042
2.0,232,56.019034
2.0,240,58.407776
4.0,324,62.036499
1.0,193,63.909751
1.0,208,65.768268
0.0,158,67.143984
0.0,163,68.563839
1.0,207,70.396826
2.0,238,72.588829
3.0,293,75.61681
1.0,208,77.702914
1.0,192,79.526413
1.0,204,81.422593
0.0,138,82.641292
2.0,225,84.946732
2.0,230,87.405788
2.0,245,89.71526
1.0,209,91.638969
2.0,254,94.145536
2.0,228,96.375927
2.0,254,98.803088
1.0,206,100.680385
1.0,208,102.553326
5.0,346,106.398487
3.0,280,109.340365
2.0,229,111.643689
1.0,190,113.348525
2.0,245,115.605638
1.0,201,117.417781
3.0,270,170.471857
2.0,251,172.572438
4.0,294,175.604687
4.0,359,179.251767
3.0,263,181.69933
3.0,264,184.410354
1.0,197,186.415902
5.0,365,190.457015
5.0,340,193.95274
3.0,315,197.14003
3.0,269,199.703425
0.0,182,201.103133
3.0,241,203.590803
1.0,221,205.397463
5.0,381,209.576807
3.0,275,212.367813
3.0,258,214.96777
1.0,212,216.756503
3.0,267,219.332435
4.0,321,222.71772
4.0,314,225.906214
0.0,170,227.295442
2.0,255,229.766332
2.0,225,231.830064
5.0,346,235.29406
2.0,230,237.248703
2.0,225,239.368155
3.0,266,242.099511
1.0,192,243.532377
2.0,234,245.643651
3.0,279,248.316456
3.0,283,250.992037
2.0,243,253.129421
2.0,210,255.139536
1.0,193,256.671693
4.0,316,259.86955
4.0,293,262.824642
2.0,223,264.985638
6.0,404,269.127113
4.0,294,272.059815
4.0,313,275.336817
0.0,174,326.908048
5.0,338,330.182805
9.0,432,334.717632
2.0,240,336.63884
3.0,264,339.064366
7.0,468,343.860016
6.0,461,348.604269
7.0,431,353.140674
6.0,367,356.876075
8.0,477,361.834204
7.0,345,365.501693
5.0,350,369.178147
10.0,448,374.193541
7.0,419,378.5827
17.0,521,384.363469
6.0,387,388.160818
2.0,217,390.116362
9.0,419,394.503609
3.0,286,397.144252
2.0,247,399.204946
4.0,356,402.726218
6.0,384,406.62871
4.0,351,409.877959
12.0,521,415.21833
5.0,340,418.680093
6.0,388,422.542215
4.0,306,425.525138
6.0,412,471.66151
14.0,603,477.566686
9.0,492,482.510937
6.0,375,486.163524
9.0,490,491.218999
7.0,419,495.425426
10.0,466,499.949819
7.0,418,503.842832
7.0,406,507.959993
14.0,516,513.004794
12.0,527,518.213246
6.0,368,521.75287
6.0,332,525.05543
8.0,457,529.563299
6.0,384,533.119587
10.0,527,538.453267
7.0,464,542.993378
5.0,310,545.930901
6.0,390,549.516382
6.0,372,553.111237
5.0,366,556.790806
8.0,511,561.829544
11.0,538,609.043387
7.0,396,612.803063
12.0,524,618.066916
15.0,606,624.21303
13.0,546,629.327206
13.0,539,634.435206
15.0,677,641.104171
13.0,540,646.329766
17.0,690,653.209539
17.0,624,659.679298
14.0,671,666.368114
17.0,708,673.818088
7.0,414,677.806165
7.0,431,681.87826
13.0,538,687.422041
15.0,624,693.754468
11.0,533,747.522203
24.0,735,754.776157
15.0,605,760.845871
13.0,643,767.226652
18.0,650,773.79342
14.0,576,779.381434
16.0,536,784.709383
14.0,608,790.650201
21.0,750,798.402301
18.0,649,804.750883
18.0,524,809.933564
16.0,650,816.534823
23.0,740,823.918807
18.0,614,830.078017
17.0,582,835.905373
16.0,579,882.803911
16.0,657,889.430445
20.0,684,896.226275
17.0,638,902.426598
15.0,648,908.787015
21.0,659,915.44484
16.0,734,922.883024
21.0,631,929.246863
19.0,625,935.632257
13.0,646,942.266651
21.0,760,949.956706
17.0,602,955.844468
9.0,517,960.568165
13.0,575,966.032523
21.0,767,1015.768404
20.0,655,1022.141413
26.0,815,1030.417474
26.0,963,1039.97822
20.0,771,1047.750038
25.0,870,1056.342405
32.0,975,1066.373828
23.0,659,1073.000057
21.0,677,1079.630751
25.0,767,1087.093746
28.0,761,1094.695493
17.0,690,1101.349521
26.0,810,1149.278912
14.0,682,1156.021277
22.0,755,1163.412039
22.0,772,1170.877939
28.0,859,1179.533641
17.0,661,1185.80974
18.0,740,1193.10645
24.0,717,1200.144086
27.0,848,1208.595214
21.0,717,1215.551919
20.0,832,1223.978505
12.0,536,1228.870808
28.0,840,1278.414516
17.0,705,1285.245654
26.0,800,1293.344012
12.0,583,1298.642454
31.0,857,1307.321973
25.0,850,1315.817703
25.0,777,1323.4471
22.0,838,1331.828979
20.0,814,1339.946902
17.0,648,1346.318536
19.0,758,1353.829946
27.0,842,1401.853322
19.0,774,1409.592692
25.0,776,1417.22722
25.0,852,1425.620964
19.0,658,1431.939737
27.0,867,1440.774952
16.0,513,1445.573409
21.0,831,1453.788947
26.0,877,1462.441381
29.0,963,1472.187903
22.0,789,1479.895249
28.0,909,1529.44264
21.0,811,1537.41804
28.0,882,1546.129236
26.0,913,1555.320359
20.0,780,1563.214279
26.0,953,1572.635857
20.0,800,1580.49485
18.0,750,1587.676952
29.0,937,1597.111617
17.0,709,1603.841069
22.0,914,1612.851094
25.0,797,1660.924444
25.0,803,1668.652756
20.0,786,1676.15082
26.0,1084,1686.999091
22.0,886,1695.65686
29.0,1112,1706.662241
23.0,702,1713.639509
24.0,884,1722.594933
31.0,1058,1733.253416
24.0,778,1740.956538
30.0,1029,1791.778586
40.0,1164,1803.445837
28.0,1015,1813.751751
21.0,760,1820.991913
31.0,1034,1831.328037
28.0,994,1841.388733
21.0,842,1849.634671
31.0,1007,1859.589104
24.0,960,1869.045932
32.0,895,1919.676271
25.0,879,1928.367788
30.0,1176,1940.276188
34.0,1053,1950.84435
28.0,1141,1962.467599
30.0,1054,1972.976649
19.0,743,1979.90831
43.0,1204,1992.093761
26.0,949,2001.605928
27.0,932,2051.069868
27.0,1037,2061.639998
24.0,937,2070.980071
31.0,1113,2082.01178
32.0,1164,2093.937422
42.0,1184,2106.004351
22.0,838,2114.32979
46.0,1157,2125.977466
26.0,1036,2176.630002
23.0,902,2185.795141
32.0,1006,2195.95753
19.0,749,2203.473123
