#{"t_start": 1713771306.056038, "env_id": "BreakoutDeterministic-v4"}
r,l,t
3.0,266,6.915957
1.0,194,8.796081
1.0,207,10.773518
1.0,191,12.779896
0.0,136,13.890544
0.0,173,15.347816
2.0,230,17.719222
2.0,222,19.959854
2.0,238,22.156016
2.0,236,24.259161
1.0,214,26.12324
4.0,307,29.670356
2.0,244,32.273006
1.0,183,34.078002
1.0,197,35.963378
3.0,275,38.775459
2.0,236,41.111432
1.0,217,43.235451
0.0,171,44.606972
5.0,330,48.149292
1.0,194,50.08941
1.0,213,52.093042
3.0,288,55.012101
2.0,247,57.650555
0.0,159,59.078643
2.0,228,61.337541
5.0,340,64.924835
3.0,273,67.746951
4.0,315,71.047169
2.0,225,73.376521
0.0,160,74.593997
1.0,201,76.588405
2.0,260,79.32133
3.0,323,82.704775
2.0,246,85.131951
0.0,176,86.583883
1.0,203,88.647491
3.0,287,91.710202
2.0,257,94.175732
3.0,295,97.18288
1.0,184,98.999103
3.0,279,101.894695
2.0,234,104.109786
0.0,157,105.552806
1.0,214,107.576658
1.0,194,109.432802
0.0,162,110.818595
1.0,185,112.608496
1.0,211,114.408598
1.0,192,116.323461
2.0,257,118.896049
1.0,198,170.990591
1.0,204,172.628279
5.0,389,176.699201
4.0,339,180.136458
1.0,184,181.833368
1.0,202,183.582406
3.0,304,186.868141
1.0,183,188.266205
2.0,232,190.635911
6.0,403,194.950392
2.0,240,197.029047
2.0,270,199.524462
5.0,338,203.165203
2.0,220,205.277303
4.0,329,208.824839
2.0,220,210.955304
0.0,170,212.218271
5.0,355,216.058547
4.0,343,219.644244
3.0,286,222.620061
5.0,353,226.301793
1.0,193,228.185367
1.0,214,230.087157
2.0,222,232.147567
4.0,342,235.771358
5.0,342,239.311966
0.0,165,240.736587
1.0,204,242.515004
2.0,237,244.608105
3.0,304,247.596206
2.0,231,249.683807
2.0,210,251.670439
5.0,359,255.612612
0.0,178,257.000086
1.0,204,258.828209
3.0,235,261.18633
5.0,325,264.525442
2.0,235,266.559309
1.0,207,268.400762
2.0,265,270.725345
5.0,388,274.694447
5.0,347,328.223899
8.0,418,332.47145
7.0,471,337.423643
6.0,465,342.268526
5.0,368,345.953239
3.0,261,348.169003
4.0,331,351.235164
4.0,320,354.448
4.0,306,357.382922
6.0,380,361.035067
3.0,267,363.45074
7.0,412,367.87337
7.0,428,372.26442
6.0,414,376.60088
5.0,368,380.484001
6.0,417,384.894029
3.0,300,387.61908
6.0,438,392.092204
3.0,269,394.566271
7.0,396,398.768972
1.0,182,400.177334
7.0,444,404.776992
5.0,364,408.230756
4.0,321,411.207026
5.0,340,414.255383
3.0,265,416.782517
8.0,485,421.836729
4.0,298,424.718011
6.0,460,471.595081
10.0,577,477.057673
10.0,498,482.149494
3.0,287,484.886511
10.0,459,489.367077
9.0,518,494.607461
6.0,444,499.092844
6.0,361,502.461054
13.0,578,508.398696
6.0,390,511.981267
8.0,428,516.304105
9.0,430,520.350644
8.0,462,525.083814
8.0,493,529.86738
6.0,404,533.570101
4.0,308,536.389746
7.0,399,540.018581
6.0,384,543.635046
11.0,469,548.384547
5.0,312,551.256629
7.0,400,555.084035
8.0,516,560.243555
9.0,485,607.012805
9.0,486,611.423235
12.0,509,616.373421
14.0,509,621.178916
9.0,526,626.254853
11.0,598,632.209361
15.0,547,637.307124
20.0,771,644.835456
7.0,403,648.655625
18.0,658,655.019588
6.0,371,658.498205
11.0,544,663.835003
9.0,522,668.893792
8.0,498,673.740952
6.0,393,677.372571
14.0,483,682.35558
7.0,425,686.474104
10.0,555,691.914132
10.0,491,696.686909
15.0,644,751.281683
13.0,676,758.02361
26.0,697,764.942928
9.0,456,769.366295
26.0,834,778.133952
12.0,638,784.472237
15.0,758,792.138248
17.0,605,798.04453
18.0,737,805.628449
14.0,523,810.730081
17.0,688,817.566003
10.0,556,823.083007
9.0,525,828.191542
17.0,660,834.924824
14.0,705,883.200043
20.0,698,890.189555
15.0,610,895.922694
21.0,703,902.922677
25.0,805,911.100699
17.0,569,916.607988
13.0,519,921.787668
15.0,556,927.304215
18.0,783,935.169981
16.0,553,940.44942
20.0,830,948.842805
23.0,680,955.653911
11.0,576,960.952607
19.0,629,967.064156
23.0,723,1016.291684
23.0,664,1022.828683
19.0,603,1028.959723
14.0,563,1034.442648
21.0,666,1040.809014
24.0,843,1049.168592
23.0,686,1055.719241
27.0,709,1062.950038
18.0,705,1069.925663
20.0,744,1077.571139
23.0,799,1085.408469
22.0,754,1092.82763
21.0,711,1099.948961
25.0,740,1146.960245
18.0,714,1153.975887
18.0,681,1160.78172
28.0,832,1168.883876
23.0,773,1176.530875
26.0,903,1185.681525
26.0,988,1195.489364
19.0,759,1202.908835
22.0,838,1211.129794
28.0,891,1220.005715
23.0,688,1226.635881
17.0,637,1274.191071
