#{"t_start": 1713771306.9401202, "env_id": "BreakoutDeterministic-v4"}
r,l,t
5.0,354,6.94118
4.0,326,10.780446
0.0,179,12.262033
0.0,164,13.797016
4.0,329,17.455077
2.0,231,19.767053
5.0,326,23.333275
1.0,183,25.108381
2.0,231,27.579315
2.0,241,29.910465
4.0,334,33.848918
1.0,196,35.680787
2.0,217,37.844498
0.0,155,39.319746
1.0,218,41.279619
5.0,371,45.289125
2.0,232,47.521755
2.0,238,49.891818
2.0,228,52.084776
3.0,300,55.25042
2.0,236,57.560303
1.0,194,59.417184
2.0,249,61.736715
0.0,171,63.04747
1.0,204,65.076955
1.0,215,67.124513
0.0,161,68.440315
0.0,163,69.847352
5.0,350,73.852864
0.0,173,75.299521
1.0,189,77.139237
1.0,195,79.078018
1.0,211,80.979976
0.0,162,82.508386
1.0,213,84.484164
0.0,170,85.883784
2.0,246,88.392645
1.0,203,90.246277
2.0,244,92.795499
0.0,165,94.178721
1.0,185,95.83902
1.0,189,97.616691
2.0,227,99.958341
0.0,169,101.315333
2.0,257,103.811527
0.0,167,105.236193
2.0,255,107.795804
0.0,153,109.057477
1.0,194,110.789662
2.0,243,113.115776
0.0,180,114.49762
5.0,332,168.538525
0.0,170,169.803123
2.0,228,171.967609
1.0,188,173.528546
2.0,251,175.912367
3.0,283,178.691251
2.0,223,180.830266
2.0,260,183.382166
2.0,238,185.690302
4.0,310,188.999161
3.0,260,191.407019
5.0,339,195.104001
2.0,250,197.480148
3.0,278,200.327914
2.0,239,202.513844
0.0,174,203.842884
6.0,382,208.095558
4.0,321,211.465695
3.0,308,214.373158
0.0,178,215.721334
4.0,321,218.990301
4.0,343,222.476097
3.0,295,225.578385
1.0,210,227.594679
5.0,345,231.330285
4.0,350,234.842833
3.0,270,237.28876
2.0,217,239.37354
4.0,334,242.935344
0.0,161,244.310236
0.0,166,245.660475
5.0,350,249.090213
2.0,211,251.078547
3.0,289,253.693042
1.0,189,255.455746
2.0,234,257.538724
1.0,225,259.457678
2.0,265,261.903895
3.0,284,264.514288
2.0,233,266.696565
3.0,270,269.226847
3.0,257,271.724867
2.0,244,273.997789
7.0,443,328.820396
7.0,437,333.52989
5.0,345,336.905679
4.0,319,340.173415
4.0,340,343.432523
7.0,454,348.170668
6.0,382,352.166104
5.0,350,355.644189
2.0,274,357.905716
6.0,406,362.061827
3.0,275,364.771868
5.0,354,368.317893
4.0,347,371.835525
0.0,172,373.165224
3.0,302,376.191436
4.0,311,379.465631
4.0,307,382.743925
7.0,404,386.993059
5.0,365,390.651306
10.0,520,396.157243
9.0,523,401.610186
6.0,401,405.632787
10.0,459,410.422422
9.0,425,414.66884
6.0,399,418.700208
5.0,354,421.99086
6.0,403,425.946625
8.0,491,472.800558
16.0,735,480.528878
9.0,510,485.567961
8.0,454,490.240528
6.0,391,494.048977
9.0,489,499.059721
6.0,380,502.65938
11.0,492,507.766389
9.0,521,512.772437
5.0,335,515.920318
7.0,394,519.778215
9.0,425,523.965251
12.0,656,530.645685
15.0,625,536.783987
8.0,417,540.917952
5.0,332,543.983585
14.0,506,548.921752
7.0,436,553.215122
6.0,436,557.775281
13.0,533,563.169723
11.0,469,609.316556
9.0,469,613.94811
14.0,514,618.827508
15.0,663,625.29171
14.0,502,630.041055
22.0,814,638.165868
10.0,528,643.063801
9.0,518,648.171521
10.0,557,653.215966
10.0,581,658.853232
13.0,541,664.337711
13.0,527,669.572676
9.0,470,674.097257
8.0,424,678.246106
14.0,513,683.310517
14.0,719,690.81121
10.0,546,696.22507
17.0,720,751.869119
22.0,693,758.683601
19.0,723,766.003544
16.0,685,772.893903
20.0,676,779.695433
19.0,718,786.871574
13.0,635,793.25283
12.0,507,798.144717
16.0,567,803.496089
16.0,550,808.911425
18.0,537,814.067188
20.0,603,820.1791
13.0,622,826.462348
27.0,759,834.072352
15.0,604,881.192235
21.0,629,887.271131
10.0,434,891.282633
21.0,769,898.914788
21.0,767,906.732073
25.0,723,914.036146
18.0,610,919.991114
18.0,746,927.699166
31.0,793,935.679777
15.0,576,941.261549
22.0,779,949.202096
19.0,668,955.619609
11.0,625,961.388157
14.0,543,966.734224
20.0,761,1016.190801
20.0,645,1022.356467
18.0,683,1029.102693
27.0,844,1037.510788
26.0,707,1044.475909
13.0,632,1050.661454
15.0,621,1056.578973
20.0,682,1063.603094
20.0,781,1071.346414
18.0,585,1076.994569
25.0,856,1085.577383
20.0,778,1093.253669
23.0,680,1099.914368
21.0,814,1147.694548
23.0,823,1155.828243
18.0,593,1161.401097
19.0,755,1168.922523
33.0,827,1177.230783
22.0,876,1186.093876
23.0,683,1192.721377
23.0,756,1200.087738
21.0,683,1206.613761
24.0,848,1215.070337
26.0,778,1222.754946
26.0,807,1272.001856
21.0,731,1278.913118
27.0,885,1287.664027
18.0,710,1294.573224
26.0,967,1304.28593
16.0,640,1310.654399
26.0,931,1319.892226
19.0,766,1327.42976
29.0,817,1335.529727
31.0,1009,1345.635614
17.0,661,1352.179718
21.0,884,1400.473608
19.0,758,1407.785245
18.0,751,1414.972371
18.0,727,1422.094499
17.0,719,1429.010442
23.0,792,1436.931881
25.0,898,1445.983193
19.0,799,1453.867862
27.0,995,1463.805394
26.0,920,1473.054926
17.0,701,1479.720649
23.0,799,1487.551742
29.0,914,1536.600528
19.0,724,1543.682678
28.0,1038,1554.046232
21.0,837,1562.49383
26.0,851,1570.797542
25.0,818,1578.772609
21.0,768,1586.233328
22.0,771,1593.922706
22.0,775,1601.578976
18.0,747,1608.767539
33.0,1012,1659.020475
28.0,935,1667.888002
25.0,858,1676.164509
25.0,1005,1686.106123
28.0,1069,1696.60393
26.0,955,1705.990466
24.0,901,1715.175433
23.0,837,1723.475417
32.0,925,1732.699854
21.0,742,1739.890421
23.0,919,1789.6044
28.0,929,1798.594967
28.0,1014,1808.787385
25.0,867,1817.251951
25.0,870,1825.672612
20.0,792,1833.519123
33.0,1083,1844.243301
23.0,791,1852.161248
35.0,971,1861.873753
35.0,1067,1872.571906
31.0,1131,1925.831868
35.0,1130,1937.131098
29.0,1009,1947.465487
28.0,1006,1957.73837
25.0,999,1967.671984
30.0,1016,1977.225919
37.0,1118,1988.374011
27.0,978,1998.174215
34.0,981,2048.360457
16.0,635,2054.536634
33.0,982,2064.525639
37.0,1074,2075.343272
28.0,1044,2085.667416
29.0,949,2095.234953
39.0,1154,2106.871054
34.0,1105,2117.833432
9.0,454,2121.862241
32.0,1058,2173.018562
27.0,798,2180.89756
20.0,789,2188.474458
34.0,1041,2198.975149
25.0,830,2207.368721
34.0,1025,2217.51728
31.0,1139,2228.726964
27.0,1062,2239.349051
36.0,1026,2249.63887
32.0,964,2299.617792
27.0,887,2308.23481
36.0,1101,2319.13767
30.0,913,2328.171043
27.0,939,2337.375219
30.0,1044,2347.633729
29.0,1082,2358.358087
41.0,1124,2369.58393
28.0,958,2378.961889
41.0,1102,2430.623322
37.0,924,2439.504355
24.0,964,2449.106198
44.0,1118,2460.295946
24.0,789,2467.752758
42.0,1172,2479.300956
40.0,1145,2490.756464
31.0,908,2499.468558
38.0,1126,2510.583963
40.0,1035,2560.151806
30.0,872,2568.603317
56.0,1131,2579.760669
31.0,902,2588.646349
33.0,925,2597.501782
33.0,921,2606.496931
33.0,868,2615.015898
51.0,1106,2625.899754
28.0,828,2633.934179
34.0,908,2682.329402
18.0,685,2688.973044
30.0,881,2697.777872
37.0,931,2707.08715
41.0,1140,2718.737585
31.0,785,2726.634908
35.0,936,2736.117304
8.0,452,2740.323764
42.0,1051,2751.154413
37.0,933,2760.501638
10.0,490,2765.326092
48.0,1188,2816.877816
15.0,618,2822.734499
44.0,1052,2833.376176
38.0,965,2842.790503
58.0,1221,2855.17212
53.0,1326,2868.400281
27.0,763,2875.892536
47.0,1172,2887.62548
59.0,1221,2939.586011
52.0,1239,2951.783153
46.0,1104,2962.683727
50.0,1308,2975.733662
61.0,1308,2988.508013
81.0,1328,3001.622254
46.0,1070,3012.379159
20.0,617,3017.979256
69.0,1368,3074.203581
56.0,1227,3086.132906
56.0,1222,3098.357082
42.0,1095,3109.041293
58.0,1179,3120.815293
51.0,1194,3132.799353
64.0,1172,3144.382572
61.0,1183,3195.212917
47.0,1088,3205.8087
49.0,1160,3217.499405
56.0,1234,3229.725351
16.0,647,3235.890188
59.0,1219,3247.756794
49.0,1105,3258.574784
50.0,1109,3269.400246
12.0,597,3275.149827
58.0,1203,3327.929192
55.0,1171,3339.76479
52.0,1052,3350.190599
48.0,1065,3360.783437
11.0,471,3365.081079
60.0,1136,3376.373655
44.0,979,3386.272911
12.0,617,3392.123904
19.0,609,3398.115357
9.0,513,3402.970948
52.0,1065,3455.992144
51.0,1079,3466.786283
16.0,647,3472.933246
17.0,578,3478.450383
12.0,548,3483.639135
14.0,579,3489.25772
11.0,542,3494.446896
56.0,1106,3506.210455
51.0,1141,3517.36979
57.0,1098,3528.704082
84.0,1284,3583.347052
69.0,1438,3597.728914
11.0,552,3602.821346
17.0,658,3609.010309
12.0,650,3615.404689
60.0,1228,3627.565869
69.0,1424,3641.91227
54.0,1222,3654.453118
20.0,695,3661.332627
56.0,1146,3714.575848
74.0,1484,3729.792066
74.0,1233,3742.000918
11.0,567,3747.73018
69.0,1424,3761.876719
71.0,1380,3775.541824
63.0,1318,3788.598101
73.0,1286,3842.172879
60.0,1133,3853.549196
82.0,1503,3868.629705
7.0,444,3872.624289
22.0,709,3879.364943
55.0,1161,3890.704676
15.0,750,3897.735572
74.0,1398,3911.517072
61.0,1123,3963.866766
20.0,787,3971.615377
15.0,616,3977.417269
83.0,1472,3992.599904
23.0,816,4000.59229
19.0,689,4006.972317
74.0,1293,4019.878396
18.0,606,4025.861157
53.0,1012,4035.761997
55.0,1229,4089.232413
