start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
1,10,188,1.4,4.0,0.9985,0.9851
11,20,161,0.6,2.0,0.9836,0.9704
21,30,160,0.6,3.0,0.969,0.956
31,40,151,0.5,2.0,0.9545,0.9417
41,50,166,0.8,3.0,0.9403,0.9277
51,60,163,0.8,2.0,0.9263,0.9139
61,70,184,1.2,4.0,0.9125,0.9003
71,80,183,1.4,4.0,0.8989,0.8868
81,90,173,0.9,4.0,0.8855,0.8736
91,100,176,1.1,2.0,0.8723,0.8606
1,100,171,0.93,4.0,0.9985,0.8606
101,110,179,1.1,4.0,0.8593,0.8478
111,120,190,1.5,4.0,0.8465,0.8352
121,130,164,0.8,2.0,0.8339,0.8227
131,140,169,1.0,3.0,0.8215,0.8105
141,150,141,0.3,1.0,0.8092,0.7984
151,160,175,1.2,4.0,0.7972,0.7865
161,170,160,0.8,2.0,0.7853,0.7748
171,180,161,0.9,5.0,0.7736,0.7632
181,190,166,0.9,3.0,0.7621,0.7519
191,200,169,1.0,2.0,0.7507,0.7407
101,200,167,0.95,5.0,0.8593,0.7407
201,210,134,0.1,1.0,0.7395,0.7296
211,220,146,0.5,2.0,0.7285,0.7187
221,230,162,0.7,2.0,0.7177,0.708
231,240,158,0.7,4.0,0.707,0.6975
241,250,164,0.8,5.0,0.6964,0.6871
251,260,138,0.2,1.0,0.6861,0.6769
261,270,137,0.2,1.0,0.6758,0.6668
271,280,156,0.7,3.0,0.6658,0.6568
281,290,149,0.4,2.0,0.6559,0.6471
291,300,170,1.0,5.0,0.6461,0.6374
201,300,151,0.53,5.0,0.7395,0.6374
301,310,147,0.5,2.0,0.6365,0.6279
311,320,152,0.7,4.0,0.627,0.6186
321,330,151,0.5,3.0,0.6176,0.6093
331,340,135,0.2,1.0,0.6084,0.6003
341,350,142,0.4,2.0,0.5994,0.5913
351,360,154,0.7,2.0,0.5904,0.5825
361,370,141,0.4,2.0,0.5816,0.5738
371,380,130,0.1,1.0,0.573,0.5653
381,390,138,0.2,1.0,0.5644,0.5569
391,400,155,0.9,5.0,0.556,0.5486
301,400,145,0.46,5.0,0.6365,0.5486
401,410,179,1.3,5.0,0.5477,0.5404
411,420,141,0.3,2.0,0.5396,0.5323
421,430,149,0.6,2.0,0.5315,0.5244
431,440,151,0.6,2.0,0.5236,0.5166
441,450,179,1.3,5.0,0.5158,0.5089
451,460,149,0.6,2.0,0.5081,0.5013
461,470,143,0.5,3.0,0.5006,0.4938
471,480,143,0.5,3.0,0.4931,0.4865
481,490,158,0.9,2.0,0.4858,0.4792
491,500,159,1.0,6.0,0.4785,0.4721
401,500,155,0.76,6.0,0.5477,0.4721
501,510,130,0.2,1.0,0.4714,0.4651
511,520,143,0.4,2.0,0.4644,0.4581
521,530,148,0.6,2.0,0.4575,0.4513
531,540,153,0.7,4.0,0.4506,0.4446
541,550,152,0.7,3.0,0.4439,0.438
551,560,142,0.4,2.0,0.4373,0.4314
561,570,141,0.4,1.0,0.4308,0.425
571,580,151,0.8,3.0,0.4244,0.4187
581,590,163,1.0,2.0,0.418,0.4124
591,600,173,1.2,3.0,0.4118,0.4063
501,600,150,0.64,4.0,0.4714,0.4063
601,610,151,0.7,2.0,0.4057,0.4002
611,620,197,1.8,3.0,0.3996,0.3943
621,630,190,1.6,3.0,0.3937,0.3884
631,640,185,1.6,6.0,0.3878,0.3826
641,650,134,0.4,1.0,0.382,0.3769
651,660,141,0.5,1.0,0.3764,0.3713
661,670,173,1.4,4.0,0.3707,0.3658
671,680,165,1.1,3.0,0.3652,0.3603
681,690,138,0.4,1.0,0.3598,0.355
691,700,155,0.8,2.0,0.3544,0.3497
601,700,163,1.03,6.0,0.4057,0.3497
701,710,157,1.0,2.0,0.3491,0.3445
711,720,161,1.1,2.0,0.3439,0.3393
721,730,148,0.7,3.0,0.3388,0.3343
731,740,144,0.6,3.0,0.3338,0.3293
741,750,152,0.9,2.0,0.3288,0.3244
751,760,149,0.8,2.0,0.3239,0.3195
761,770,132,0.2,1.0,0.3191,0.3148
771,780,134,0.2,1.0,0.3143,0.3101
781,790,164,1.0,4.0,0.3096,0.3055
791,800,143,0.5,2.0,0.305,0.3009
701,800,148,0.7,4.0,0.3491,0.3009
801,810,142,0.5,2.0,0.3005,0.2964
811,820,132,0.3,1.0,0.296,0.292
821,830,146,0.6,3.0,0.2916,0.2877
831,840,135,0.3,2.0,0.2872,0.2834
841,850,162,0.9,4.0,0.283,0.2792
851,860,129,0.2,1.0,0.2787,0.275
861,870,140,0.5,3.0,0.2746,0.2709
871,880,141,0.5,3.0,0.2705,0.2669
881,890,139,0.4,2.0,0.2665,0.2629
891,900,160,0.9,4.0,0.2625,0.259
801,900,143,0.51,4.0,0.3005,0.259
901,910,138,0.3,1.0,0.2586,0.2551
911,920,147,0.6,2.0,0.2547,0.2513
921,930,157,0.9,3.0,0.2509,0.2476
931,940,146,0.6,3.0,0.2472,0.2439
941,950,153,0.8,3.0,0.2435,0.2403
951,960,145,0.6,2.0,0.2399,0.2367
961,970,156,0.9,3.0,0.2363,0.2331
971,980,144,0.5,2.0,0.2328,0.2297
981,990,157,0.9,3.0,0.2293,0.2262
991,1000,145,0.6,4.0,0.2259,0.2229
901,1000,149,0.67,4.0,0.2586,0.2229
1001,1010,193,1.6,5.0,0.2225,0.2196
1011,1020,149,0.6,3.0,0.2192,0.2163
1021,1030,144,0.5,1.0,0.216,0.2131
1031,1040,166,1.1,4.0,0.2127,0.2099
1041,1050,166,1.0,4.0,0.2096,0.2068
1051,1060,167,1.2,5.0,0.2065,0.2037
1061,1070,141,0.5,2.0,0.2034,0.2006
1071,1080,136,0.3,3.0,0.2003,0.1977
1081,1090,175,1.3,4.0,0.1974,0.1947
1091,1100,177,1.4,4.0,0.1944,0.1918
1001,1100,161,0.95,5.0,0.2225,0.1918
1101,1110,149,0.6,3.0,0.1915,0.189
1111,1120,133,0.3,2.0,0.1887,0.1861
1121,1130,146,0.6,2.0,0.1859,0.1834
1131,1140,135,0.3,1.0,0.1831,0.1806
1141,1150,140,0.5,4.0,0.1804,0.1779
1151,1160,171,1.3,4.0,0.1777,0.1753
1161,1170,169,1.1,4.0,0.175,0.1727
1171,1180,172,1.3,3.0,0.1724,0.1701
1181,1190,175,1.5,6.0,0.1699,0.1676
1191,1200,168,1.3,3.0,0.1673,0.1651
1101,1200,156,0.88,6.0,0.1915,0.1651
1201,1210,199,2.0,4.0,0.1648,0.1626
1211,1220,180,1.6,4.0,0.1624,0.1602
1221,1230,172,1.4,4.0,0.16,0.1578
1231,1240,145,0.6,2.0,0.1576,0.1555
1241,1250,192,1.8,3.0,0.1552,0.1531
1251,1260,217,2.5,5.0,0.1529,0.1509
1261,1270,207,2.2,6.0,0.1506,0.1486
1271,1280,218,3.0,8.0,0.1484,0.1464
1281,1290,220,2.6,9.0,0.1462,0.1442
1291,1300,261,3.5,7.0,0.144,0.1421
1201,1300,201,2.12,9.0,0.1648,0.1421
1301,1310,249,3.2,5.0,0.1419,0.1399
1311,1320,274,4.7,9.0,0.1397,0.1379
1321,1330,310,4.6,7.0,0.1377,0.1358
1331,1340,269,4.1,6.0,0.1356,0.1338
1341,1350,314,4.9,8.0,0.1336,0.1318
1351,1360,283,5.7,12.0,0.1316,0.1298
1361,1370,284,5.0,8.0,0.1296,0.1279
1371,1380,331,4.9,7.0,0.1277,0.126
1381,1390,336,5.6,9.0,0.1258,0.1241
1391,1400,296,4.9,9.0,0.1239,0.1223
1301,1400,295,4.76,12.0,0.1419,0.1223
1401,1410,308,5.7,9.0,0.1221,0.1204
1411,1420,314,5.0,7.0,0.1203,0.1186
1421,1430,298,5.0,7.0,0.1185,0.1169
1431,1440,327,6.0,9.0,0.1167,0.1151
1441,1450,286,5.0,9.0,0.115,0.1134
1451,1460,355,6.4,12.0,0.1133,0.1117
1461,1470,294,4.6,8.0,0.1116,0.1101
1471,1480,347,6.5,11.0,0.1099,0.1084
