rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,train/clip_range,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
211.0,124,1.3,263,32768,1,,,,,,,,,,
252.1,296,2.2,221,65536,2,0.2,10,-1.3691219503292813,0.0003,0.021802131,0.19326171875,-0.028453893959522247,-0.0012962818145751953,-0.018357599800947356,0.07205295280291465
416.5,445,6.5,220,98304,3,0.2,20,-1.3168794717639685,0.0003,0.028023154,0.2932373046875,-0.018454335629940033,0.6263674795627594,-0.04436828786601836,0.14439879363781075
475.4,593,9.9,221,131072,4,0.2,30,-1.2516917491331696,0.0003,0.029586717,0.2901611328125,0.01651318371295929,0.6224983036518097,-0.049606906465305654,0.18362699569261168
521.5,730,12.4,224,163840,5,0.2,40,-1.1972445514285937,0.0003,0.03938508,0.294342041015625,-0.012406207621097565,0.7386316061019897,-0.049794628940799154,0.16159479855778044
653.4,871,17.5,225,196608,6,0.2,50,-1.1503281481331213,0.0003,0.051159337,0.3066619873046875,-0.025219380855560303,0.81925930082798,-0.049491634673177035,0.13788556553045056
700.8,1006,21.3,227,229376,7,0.2,60,-1.1198251307476312,0.0003,0.041083295,0.3240234375,-0.017025373876094818,0.8466184437274933,-0.04842914326072787,0.13150629273368394
700.3,1142,19.9,229,262144,8,0.2,70,-1.088350561389234,0.0003,0.054516405,0.361968994140625,-0.05940720811486244,0.8482934385538101,-0.05222935299680102,0.14002194563727244
796.2,1275,24.4,231,294912,9,0.2,80,-1.0605556521564723,0.0003,0.062018666,0.3833160400390625,-0.03959529474377632,0.8842265084385872,-0.05331672051706846,0.12463396195962559
783.3,1406,22.3,232,327680,10,0.2,90,-1.0323211399256251,0.0003,0.07004407,0.4076812744140625,-0.04390573874115944,0.9227589592337608,-0.06164632066993363,0.0872363852129638
927.7,1537,29.1,234,360448,11,0.2,100,-0.9975602049031295,0.0003,0.08143973,0.409375,-0.09431314468383789,0.9306289553642273,-0.06359607390886594,0.08945815245097037
943.6,1666,29.4,235,393216,12,0.2,110,-0.9614105402841233,0.0003,0.090321295,0.4167877197265625,-0.09717121720314026,0.9377192258834839,-0.06499589035374811,0.080982187983318
966.6,1792,30.4,237,425984,13,0.2,120,-0.9150400056038052,0.0003,0.10063191,0.41357421875,-0.014305338263511658,0.9424736127257347,-0.06301786722988253,0.07434360775114328
802.7,1921,22.6,238,458752,14,0.2,130,-0.8936886793235317,0.0003,0.10675228,0.4161041259765625,-0.012461964040994644,0.9483219422399998,-0.0597784547288029,0.07212398767642299
841.8,2059,23.4,238,491520,15,0.2,140,-0.861758278682828,0.0003,0.10459325,0.4016632080078125,-0.025362372398376465,0.9391893744468689,-0.05379190509420369,0.09468518574576593
