time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/explained_variance,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/n_updates
1471,12,267,-11.6,2649.4,393216,-1.5325208618538455,0.8470454663038254,0.3439727783203125,0.0003,0.1470664707987453,-0.051222889705968555,0.038597614,0.2,-0.010756507515907288,110
1590,13,267,-9.6,3067.0,425984,-1.4852162728784606,0.7857649326324463,0.39697265625,0.0003,0.15049311342227156,-0.059031845822210015,0.050628386,0.2,-0.04169847071170807,120
1714,14,267,-0.5,3343.3,458752,-1.430469781300053,0.7081089615821838,0.439166259765625,0.0003,0.1466303191256884,-0.06446042187835702,0.060728855,0.2,-0.037904053926467896,130
1843,15,266,7.6,3286.3,491520,-1.369313171529211,0.6576561629772186,0.45059814453125,0.0003,0.1537086519339937,-0.06243660398067732,0.068716735,0.2,-0.04011387750506401,140
1968,16,266,9.0,3058.8,524288,-1.282076670625247,0.6428275108337402,0.453314208984375,0.0003,0.12062824952008669,-0.05704986487271526,0.07377689,0.2,-0.08077546954154968,150
2114,17,263,11.3,2920.0,557056,-1.2318992209620774,0.7192907333374023,0.4449493408203125,0.0003,0.09012198541422549,-0.05114749266813305,0.07352529,0.2,-0.060030870139598846,160
2261,18,260,12.8,2840.8,589824,-1.1849204330123029,0.7447874248027802,0.4426483154296875,0.0003,0.07997319820860867,-0.050675684004090726,0.0800779,0.2,-0.044088371098041534,170
2400,19,259,13.8,2677.9,622592,-1.170509029144887,0.7576490342617035,0.4494110107421875,0.0003,0.054978410326839366,-0.05014304854103102,0.08584587,0.2,-0.06414807587862015,180
2540,20,257,4.9,2904.8,655360,-1.1452270727138967,0.7373778223991394,0.44945068359375,0.0003,0.04647162876563016,-0.04446156542335302,0.08852534,0.2,-0.07039807736873627,190
2676,21,257,6.6,2927.4,688128,-1.122470493405126,0.5039203763008118,0.4705810546875,0.0003,0.1550274302091566,-0.0570944379476714,0.10710795,0.2,-0.06643360108137131,200
