rollout/ep_rew_mean,time/iterations,time/fps,train/policy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/n_updates,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean
-20.5,1700,375,0.01793261244893074,0.06217018514871597,0.9650123231112957,0.0007,-1.1597652435302734,1699,362,136000,930.0
-20.5,1800,374,-0.06731859594583511,0.09024597704410553,0.9752972070127726,0.0007,-1.1824884414672852,1799,384,144000,927.0
-20.9,1900,374,0.06940089911222458,0.23389701545238495,0.8347080796957016,0.0007,-1.008494257926941,1899,406,152000,823.1
-20.6,2000,374,0.02991323731839657,0.07714832574129105,0.9631051272153854,0.0007,-0.9169632196426392,1999,427,160000,965.9
-20.1,2100,374,-0.16592423617839813,0.14603066444396973,0.9516665488481522,0.0007,-1.1341737508773804,2099,448,168000,947.2
-20.4,2200,375,-0.018280882388353348,0.133591890335083,0.9654631167650223,0.0007,-0.7428173422813416,2199,468,176000,919.6
-20.5,2300,375,-0.04374111071228981,0.0945202112197876,0.971011109650135,0.0007,-1.112212061882019,2299,489,184000,945.3
-20.8,2400,375,0.11767170578241348,0.08645027875900269,0.963556706905365,0.0007,-1.1348975896835327,2399,511,192000,878.9
-20.9,2500,375,0.11481287330389023,0.11558210849761963,0.9710588250309229,0.0007,-0.9066624641418457,2499,532,200000,925.7
-20.7,2600,375,0.07622706145048141,0.10154777020215988,0.9756253343075514,0.0007,-0.8630424737930298,2599,553,208000,876.0
-20.9,2700,375,0.04354431852698326,0.08409762382507324,0.9830044023692608,0.0007,-0.9095169901847839,2699,575,216000,856.4
-20.8,2800,375,0.030393630266189575,0.10714294761419296,0.9014176353812218,0.0007,-1.049618124961853,2799,596,224000,901.6
-20.7,2900,376,0.04780269414186478,0.06345267593860626,0.9672665596008301,0.0007,-1.2435184717178345,2899,616,232000,867.8
-21.0,3000,375,0.10135090351104736,0.1543976366519928,0.8965778052806854,0.0007,-0.9425439238548279,2999,638,240000,868.7
-20.5,3100,375,-0.09242676943540573,0.20631368458271027,0.9597551561892033,0.0007,-1.402992606163025,3099,660,248000,949.2
