train/entropy_loss,train/n_updates,train/learning_rate,time/fps,train/policy_loss,train/explained_variance,train/value_loss,time/time_elapsed,time/total_timesteps,time/iterations
-2.8903613090515137,99,0.001,1117,-0.0008714731666259468,0.6647232174873352,5.182437234907411e-07,7,8000,100
-2.890368938446045,199,0.001,1076,0.0008604396134614944,-1.3418214321136475,4.995924314243894e-07,14,16000,200
-2.8903584480285645,299,0.001,1067,0.000717564660590142,-1.8311736583709717,4.172316891981609e-07,22,24000,300
-2.8903350830078125,399,0.001,1100,0.0008368100388906896,-3.9788479804992676,5.313402198225958e-07,29,32000,400
-2.890291452407837,499,0.001,1098,-0.00016051057900767773,-0.07823073863983154,1.3589935576874268e-07,36,40000,500
-2.890197277069092,599,0.001,1066,-0.0005675154970958829,-3.4228553771972656,8.642928150948137e-07,44,48000,600
-2.890244960784912,699,0.001,1037,0.0006674346514046192,-0.024506688117980957,3.775526238314342e-07,53,56000,700
-2.890232563018799,799,0.001,1023,0.0004559911321848631,0.23916304111480713,2.588265033409698e-07,62,64000,800
-2.88919997215271,899,0.001,1012,-0.0005604528123512864,-0.02933335304260254,1.2183863873360679e-07,71,72000,900
-2.889256238937378,999,0.001,999,0.0005753154982812703,-0.25889480113983154,1.4103925138897466e-07,80,80000,1000
-2.8899497985839844,1099,0.001,990,-0.0004209437465760857,-0.16929996013641357,7.483724573376094e-08,88,88000,1100
-2.890061140060425,1199,0.001,979,5.7534391089575365e-05,-2.3636162281036377,6.095530125094228e-08,97,96000,1200
-2.8900909423828125,1299,0.001,976,0.00012411200441420078,0.09249156713485718,2.570043378113951e-08,106,104000,1300
-2.8899972438812256,1399,0.001,969,-0.0004654879739973694,-0.9486285448074341,1.5821716203845426e-07,115,112000,1400
-2.8899941444396973,1499,0.001,967,-0.00014404828834813088,-0.2731667757034302,6.661242935024347e-08,124,120000,1500
-2.8900551795959473,1599,0.001,961,0.00010744130850071087,-1.5380964279174805,3.4507213086953925e-08,133,128000,1600
-2.8901305198669434,1699,0.001,960,0.0001308763457927853,0.5069060027599335,8.326962230853496e-09,141,136000,1700
-2.890194892883301,1799,0.001,956,-0.00010452688729856163,0.661266565322876,6.700003218895745e-09,150,144000,1800
-2.8901681900024414,1899,0.001,953,6.325761205516756e-06,-0.1439528465270996,3.5575069556870176e-09,159,152000,1900
-2.8900153636932373,1999,0.001,951,-1.3106319784128573e-05,-0.5548710823059082,1.2232812096613088e-08,168,160000,2000
-2.890076160430908,2099,0.001,945,1.2833556866098661e-05,-6.630415439605713,1.3262225095900249e-08,177,168000,2100
-2.8900973796844482,2199,0.001,944,5.558876000577584e-05,-0.8161020278930664,1.4713406493171988e-08,186,176000,2200
-2.890109062194824,2299,0.001,941,-5.982662696624175e-05,-2.1884922981262207,2.7252889722717555e-08,195,184000,2300
-2.890094757080078,2399,0.001,940,0.00021099275909364223,-0.33398473262786865,6.726326517991765e-08,204,192000,2400
-2.8900983333587646,2499,0.001,938,-0.00015089652151800692,0.3281715512275696,1.4919050883577256e-08,213,200000,2500
-2.890127658843994,2599,0.001,937,0.0002055245277006179,-0.8373310565948486,3.283826188749117e-08,221,208000,2600
-2.8902060985565186,2699,0.001,936,-5.564050661632791e-05,0.20309019088745117,1.9527701677901632e-09,230,216000,2700
-2.8901870250701904,2799,0.001,934,6.369980837916955e-05,-7.8514556884765625,1.0384813897701406e-08,239,224000,2800
-2.8902053833007812,2899,0.001,932,-1.831474264690769e-06,-2.6798622608184814,2.60849897237847e-09,248,232000,2900
-2.8902313709259033,2999,0.001,931,2.4394601041421993e-06,-0.9426660537719727,3.822010263831999e-09,257,240000,3000
-2.8902640342712402,3099,0.001,930,1.3357073839870282e-05,-0.5961413383483887,2.5174160533936174e-09,266,248000,3100
-2.8902690410614014,3199,0.001,928,7.909693522378802e-08,-1.4945428371429443,2.6375772677056375e-09,275,256000,3200
-2.8902530670166016,3299,0.001,928,0.0001583268604008481,-4.0687255859375,4.738649295177311e-08,284,264000,3300
-2.8902511596679688,3399,0.001,927,5.90203353567631e-06,-0.4617398977279663,1.886639511283761e-09,293,272000,3400
-2.8902087211608887,3499,0.001,926,-1.2551373401947785e-05,-0.09763824939727783,4.539660647395749e-09,302,280000,3500
-2.8902034759521484,3599,0.001,926,-8.83340817381395e-06,0.0,0.12012302875518799,310,288000,3600
-2.890186309814453,3699,0.001,926,1.964201328519266e-05,-0.1967998743057251,1.9020442998396447e-09,319,296000,3700
-2.890174388885498,3799,0.001,925,6.888294592499733e-05,0.35690510272979736,3.4986940011805245e-09,328,304000,3800
-2.8901326656341553,3899,0.001,924,1.9966088075307198e-05,-0.1399770975112915,1.1161679580595774e-08,337,312000,3900
-2.8901307582855225,3999,0.001,923,-0.00018522002210374922,-3.933906555175781e-06,0.04950284585356712,346,320000,4000
-2.8886590003967285,4099,0.001,922,0.00177769735455513,0.6800859272480011,6.369135689965333e-07,355,328000,4100
-2.8900229930877686,4199,0.001,921,0.00011744497896870598,0.3607591390609741,7.98735442231191e-08,364,336000,4200
-2.8899295330047607,4299,0.001,921,8.116670505842194e-05,-0.22355270385742188,9.900036701537829e-08,373,344000,4300
-2.890005588531494,4399,0.001,921,-0.0002716819872148335,0.2288561463356018,7.552512215625029e-08,382,352000,4400
-2.890075206756592,4499,0.001,918,2.4716771804378368e-05,-0.3749622106552124,1.1525712828586165e-08,391,360000,4500
-2.890153646469116,4599,0.001,916,3.079264934058301e-05,-1.2132620811462402,4.621170113239259e-09,401,368000,4600
-2.8900697231292725,4699,0.001,916,-0.00011840188381029293,-0.2741032838821411,1.4062327302610811e-08,410,376000,4700
-2.8900768756866455,4799,0.001,916,-0.00011290232941973954,-0.3685036897659302,2.373084662110614e-08,419,384000,4800
-2.8901076316833496,4899,0.001,915,4.234377047396265e-05,-1.1118404865264893,6.325626689118735e-09,427,392000,4900
-2.8901655673980713,4999,0.001,915,-6.258339271880686e-05,-1.0488512516021729,3.3607017169146047e-09,436,400000,5000
-2.89013934135437,5099,0.001,916,-3.382621434866451e-05,0.549811452627182,5.357644883297041e-10,445,408000,5100
-2.8901584148406982,5199,0.001,915,1.208775120176142e-05,-0.22805988788604736,1.787308079315153e-09,454,416000,5200
-2.890151023864746,5299,0.001,915,-6.046520411473466e-06,-0.7630486488342285,1.5051057067339002e-09,463,424000,5300
-2.8901491165161133,5399,0.001,914,1.4781345271330792e-05,-1.993945837020874,1.9185741884086838e-09,472,432000,5400
-2.8901584148406982,5499,0.001,914,-1.1718273526639678e-05,0.0,0.09705439954996109,480,440000,5500
-2.890115261077881,5599,0.001,913,4.167750375927426e-05,0.31962329149246216,6.076137926136482e-10,490,448000,5600
-2.890145778656006,5699,0.001,913,-3.7305220757843927e-05,-0.7915985584259033,7.233590948452218e-10,499,456000,5700
-2.890131711959839,5799,0.001,912,2.5307905161753297e-05,0.07183694839477539,1.0444155540412225e-09,508,464000,5800
-2.890150785446167,5899,0.001,912,-1.557308860355988e-05,-0.22826337814331055,3.58889112872518e-10,517,472000,5900
-2.8901515007019043,5999,0.001,911,-5.0921593356179073e-05,0.17935657501220703,8.962359188124935e-10,526,480000,6000
-2.8901901245117188,6099,0.001,911,2.3177364710136317e-05,-1.109234094619751,3.2296532115339005e-10,535,488000,6100
-2.890197277069092,6199,0.001,909,-1.3993120774102863e-05,-0.6572792530059814,9.167170356150223e-10,545,496000,6200
-2.8902087211608887,6299,0.001,909,-0.00010660854604793712,-0.36178839206695557,3.221533040331792e-09,554,504000,6300
-2.8902416229248047,6399,0.001,909,4.9713209591573104e-05,-0.6430263519287109,1.1205915084744333e-09,563,512000,6400
-2.890199661254883,6499,0.001,908,-1.9706230887095444e-05,-0.16136062145233154,5.310869521935047e-10,572,520000,6500
-2.89020037651062,6599,0.001,908,3.3068597986130044e-05,-0.7294870615005493,6.990740208934199e-10,581,528000,6600
-2.89013934135437,6699,0.001,907,5.907695958740078e-05,0.4465850591659546,6.760540460781783e-10,590,536000,6700
-2.8901309967041016,6799,0.001,907,6.293515070865396e-06,-3.101868152618408,3.3103650376453686e-10,599,544000,6800
-2.8901138305664062,6899,0.001,907,-2.84657448901271e-06,0.08276081085205078,4.916841933599869e-10,608,552000,6900
-2.890120267868042,6999,0.001,907,0.0001294571702601388,-9.169299125671387,1.1565304269822718e-08,617,560000,7000
-2.890115737915039,7099,0.001,906,2.4938524347817292e-06,-1.0352811813354492,4.0230915820949065e-10,626,568000,7100
-2.890129804611206,7199,0.001,906,6.0654700064333156e-05,-0.6328924894332886,9.744931528388179e-10,635,576000,7200
-2.890157699584961,7299,0.001,905,-6.508125079562888e-05,-1.3641510009765625,1.2870675636378337e-09,644,584000,7300
-2.89019513130188,7399,0.001,905,3.025454316230025e-05,-0.48007500171661377,5.685587001202919e-10,653,592000,7400
-2.8902409076690674,7499,0.001,905,1.795112075342331e-05,-2.2006688117980957,3.5520536512123613e-10,662,600000,7500
-2.890247106552124,7599,0.001,905,-5.528639303520322e-05,-0.4024010896682739,6.911574090828765e-10,671,608000,7600
