start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
1191,1200,883,2.8,4.0,0.1303,0.1287
1101,1200,872,2.77,6.0,0.1437,0.1287
1201,1210,846,2.7,5.0,0.1285,0.1269
1211,1220,876,2.6,4.0,0.1267,0.1257
1221,1230,845,2.8,5.0,0.1254,0.1244
1231,1240,949,3.6,5.0,0.1244,0.1237
1241,1250,920,3.2,5.0,0.1237,0.1227
1251,1260,988,4.1,5.0,0.1227,0.1224
1261,1270,932,3.2,5.0,0.1224,0.1215
1271,1280,908,3.1,5.0,0.1215,0.1205
1281,1290,910,3.3,5.0,0.1203,0.1193
1291,1300,961,3.4,4.0,0.1193,0.1191
1201,1300,913,3.2,5.0,0.1285,0.1191
1301,1310,978,3.9,5.0,0.1191,0.1186
1311,1320,982,3.8,5.0,0.1186,0.1181
1321,1330,999,3.9,4.0,0.1181,0.1181
1331,1340,998,4.3,7.0,0.1181,0.1179
1301,1347,952,3.62,7.0,0.1232,0.1176
