start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
1,10,1785,0.2,9.0,0.997,0.9704
11,20,1785,4.5,19.0,0.9675,0.9417
21,30,1785,-0.1,12.0,0.9389,0.9138
31,40,1785,2.4,10.0,0.9111,0.8868
41,50,1785,3.4,14.0,0.8841,0.8605
51,60,1785,3.7,12.0,0.8579,0.835
61,70,1785,2.9,15.0,0.8325,0.8103
71,80,1785,1.5,12.0,0.8079,0.7863
81,90,1785,2.0,12.0,0.784,0.7631
91,100,1785,4.7,15.0,0.7608,0.7405
1,100,1785,2.52,19.0,0.997,0.7405
101,110,1785,1.2,11.0,0.7383,0.7186
111,120,1785,-0.2,15.0,0.7164,0.6973
121,130,1785,5.5,17.0,0.6952,0.6767
131,140,1785,0.9,15.0,0.6746,0.6566
141,150,1785,-0.3,6.0,0.6547,0.6372
151,160,1785,-0.7,5.0,0.6353,0.6183
161,170,1785,3.0,11.0,0.6165,0.6
171,180,1785,-2.4,7.0,0.5982,0.5823
181,190,1785,4.7,17.0,0.5805,0.565
191,200,1785,3.2,12.0,0.5633,0.5483
101,200,1785,1.49,17.0,0.7383,0.5483
201,210,1785,1.8,11.0,0.5467,0.5321
211,220,1785,-0.2,11.0,0.5305,0.5163
221,230,1785,5.9,20.0,0.5148,0.5011
231,240,1785,-3.6,7.0,0.4996,0.4862
241,250,1785,6.1,29.0,0.4848,0.4718
251,260,1785,8.6,29.0,0.4704,0.4579
261,270,1765,8.1,44.0,0.4565,0.4443
271,280,1785,3.2,11.0,0.443,0.4312
281,290,1785,0.4,16.0,0.4299,0.4184
291,300,1785,2.6,15.0,0.4171,0.406
201,300,1783,3.29,44.0,0.5467,0.406
301,310,1774,5.9,15.0,0.4048,0.394
311,320,1785,3.4,14.0,0.3928,0.3823
321,330,1766,6.5,35.0,0.3812,0.371
331,340,1769,13.1,32.0,0.3699,0.36
341,350,1785,10.6,20.0,0.359,0.3494
351,360,1762,8.0,26.0,0.3483,0.339
361,370,1780,14.0,30.0,0.338,0.329
371,380,1763,5.3,33.0,0.328,0.3193
381,390,1785,3.9,28.0,0.3183,0.3098
391,400,1749,7.8,40.0,0.3089,0.3007
301,400,1772,7.85,40.0,0.4048,0.3007
401,410,1766,5.7,33.0,0.2997,0.2918
411,420,1785,4.9,29.0,0.2909,0.2831
421,430,1785,5.9,13.0,0.2823,0.2747
431,440,1774,6.0,21.0,0.2739,0.2666
441,450,1719,8.2,29.0,0.2658,0.2587
451,460,1785,6.4,19.0,0.2579,0.2511
461,470,1756,6.4,34.0,0.2503,0.2436
471,480,1755,3.5,20.0,0.2429,0.2364
481,490,1736,5.3,21.0,0.2357,0.2294
491,500,1772,7.2,20.0,0.2287,0.2226
401,500,1763,5.95,34.0,0.2997,0.2226
501,510,1714,11.5,32.0,0.222,0.216
511,520,1749,11.2,26.0,0.2154,0.2096
521,530,1766,9.7,29.0,0.209,0.2034
531,540,1691,11.6,31.0,0.2028,0.1974
541,550,1749,6.7,23.0,0.1968,0.1916
551,560,1749,5.4,13.0,0.191,0.1859
501,564,1738,8.16,34.0,0.2473,0.1842
