rollout/ep_len_mean,train/n_updates,train/policy_loss,time/iterations,train/value_loss,time/time_elapsed,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,time/fps,time/total_timesteps,train/learning_rate
897.8,6099,0.026676973327994347,6100,0.08482594043016434,1285,-0.8286305665969849,-20.9,0.9892073189839721,379,488000,0.0007
984.1,6199,-0.025546351447701454,6200,0.04087194800376892,1304,-0.8637014627456665,-20.2,0.9932589270174503,380,496000,0.0007
960.1,6299,0.04338390380144119,6300,0.1244911476969719,1325,-0.8561105728149414,-20.5,0.976138835772872,380,504000,0.0007
849.1,6399,-0.015115881338715553,6400,0.045090433210134506,1347,-0.7476985454559326,-20.9,0.9941717935726047,380,512000,0.0007
940.2,6499,0.04129170626401901,6500,0.12632928788661957,1368,-0.9486409425735474,-20.7,0.9696933850646019,379,520000,0.0007
863.2,6599,0.00992755126208067,6600,0.09432240575551987,1389,-0.8959506154060364,-20.8,0.9807583354413509,379,528000,0.0007
919.4,6699,-0.09545852988958359,6700,0.11838572472333908,1410,-1.082506537437439,-20.8,0.7943224906921387,380,536000,0.0007
983.2,6799,0.0847635492682457,6800,0.09564470499753952,1430,-1.0173180103302002,-20.7,0.980504933744669,380,544000,0.0007
940.0,6899,-0.017414739355444908,6900,0.030925888568162918,1450,-0.982155978679657,-20.8,0.9930243161506951,380,552000,0.0007
962.9,6999,0.10244204103946686,7000,0.1335620880126953,1471,-1.012069582939148,-20.7,0.9717677719891071,380,560000,0.0007
931.5,7099,0.013005511835217476,7100,0.07131117582321167,1492,-0.9692842364311218,-20.9,0.9841664601117373,380,568000,0.0007
930.1,7199,0.04772886633872986,7200,0.0946957916021347,1513,-0.9283506274223328,-20.9,0.9679654911160469,380,576000,0.0007
1016.3,7299,0.02104761265218258,7300,0.08478466421365738,1534,-0.9864571690559387,-20.4,0.9591132998466492,380,584000,0.0007
999.2,7399,0.040297094732522964,7400,0.07551103830337524,1554,-0.8998884558677673,-20.5,0.9758992828428745,380,592000,0.0007
1030.8,7499,-0.015679920092225075,7500,0.08616949617862701,1575,-1.0664700269699097,-20.5,0.9526421204209328,380,600000,0.0007
1047.4,7599,-0.07569605857133865,7600,0.047315772622823715,1596,-0.9838587045669556,-20.6,0.9806379303336143,380,608000,0.0007
