time/iterations,rollout/ep_len_mean,time/fps,train/n_updates,train/learning_rate,train/value_loss,time/total_timesteps,train/entropy_loss,time/time_elapsed,train/explained_variance,rollout/ep_rew_mean,train/policy_loss
2900,807.5,304,2899,0.0007,0.07077739387750626,232000,-0.1593536138534546,762,0.9908169284462929,23.7,0.0018504444742575288
3000,810.5,304,2999,0.0007,0.07157227396965027,240000,-0.18551941215991974,787,0.9688152819871902,23.6,0.01526618655771017
3100,867.9,305,3099,0.0007,0.10299680382013321,248000,-0.17568548023700714,811,0.9671704731881618,27.3,0.0025882229674607515
3200,843.0,306,3199,0.0007,0.10438408702611923,256000,-0.18048851191997528,836,0.9840218406170607,26.2,-0.11363829672336578
3300,740.8,306,3299,0.0007,0.5650372505187988,264000,-0.17841920256614685,860,0.7451121807098389,23.3,-0.08042684197425842
3400,972.4,307,3399,0.0007,0.16242952644824982,272000,-0.10971033573150635,885,0.9774537961930037,30.3,-0.04464328661561012
3500,974.8,307,3499,0.0007,0.11309193819761276,280000,-0.14681589603424072,909,0.9419727325439453,32.3,-0.0056470283307135105
3600,1118.7,308,3599,0.0007,0.0754532516002655,288000,-0.14525698125362396,933,0.9798795506358147,40.0,-0.02229161374270916
3700,1050.7,309,3699,0.0007,0.03617382049560547,296000,-0.08107753843069077,957,0.9955609105527401,38.4,0.006329973228275776
3800,1071.8,309,3799,0.0007,0.155388742685318,304000,-0.07159712165594101,982,0.9799794834107161,37.4,-0.002601782325655222
3900,1105.8,310,3899,0.0007,0.024157587438821793,312000,-0.037908025085926056,1006,0.9957828023470938,40.1,-0.0011984509183093905
4000,1121.7,310,3999,0.0007,0.2382034808397293,320000,-0.09935393929481506,1030,0.9750977102667093,40.7,-0.028668642044067383
4100,1115.8,311,4099,0.0007,0.07095450162887573,328000,-0.09932215511798859,1054,0.9863059120252728,42.4,-0.00119305111002177
4200,932.9,311,4199,0.0007,0.05701112747192383,336000,-0.05034656450152397,1078,0.9845801210030913,28.8,0.001385866547934711
4300,1108.2,311,4299,0.0007,0.01878507249057293,344000,-0.03978807479143143,1102,0.99462801637128,39.2,-0.0003183638327755034
4400,1152.6,312,4399,0.0007,0.07816257327795029,352000,-0.0301961749792099,1126,0.9897411456331611,40.6,0.008769880048930645
4500,1192.1,312,4499,0.0007,0.09367648512125015,360000,-0.017177626490592957,1150,0.9844307051971555,45.3,0.0008900027605704963
4600,1186.7,313,4599,0.0007,0.1206427589058876,368000,-0.0814446210861206,1174,0.9670041538774967,42.9,0.007853517308831215
4700,1177.3,313,4699,0.0007,0.1408769190311432,376000,-0.028941327705979347,1198,0.9526188522577286,45.9,-0.0011307293316349387
4800,1237.3,313,4799,0.0007,0.1606912463903427,384000,-0.030449969694018364,1223,0.9705482013523579,47.4,-0.0297999270260334
4900,1195.3,314,4899,0.0007,0.0832606703042984,392000,-0.0752282664179802,1247,0.9806463159620762,47.0,-0.0520196333527565
5000,1206.1,314,4999,0.0007,0.03833591938018799,400000,-0.0673280581831932,1271,0.9932180102914572,46.1,0.0027673004660755396
5100,1152.6,314,5099,0.0007,0.06545920670032501,408000,-0.03160515055060387,1295,0.9836855381727219,47.1,0.0004282425798010081
5200,1220.6,315,5199,0.0007,0.06063059717416763,416000,-0.039674945175647736,1319,0.9907400738447905,48.3,0.002036530524492264
5300,1080.9,315,5299,0.0007,0.07568679004907608,424000,-0.09499596059322357,1343,0.9855618476867676,39.5,0.0048011294566094875
5400,1175.7,315,5399,0.0007,0.22841255366802216,432000,-0.06888283789157867,1367,0.8294431269168854,45.6,-0.05024194344878197
5500,1078.7,316,5499,0.0007,0.03119104914367199,440000,-0.049629759043455124,1391,0.9899198953062296,38.0,-0.021231448277831078
5600,1213.5,316,5599,0.0007,0.02925998345017433,448000,-0.02405785769224167,1415,0.9928430947475135,49.6,0.002568015595898032
5700,1104.2,316,5699,0.0007,0.0834486111998558,456000,-0.07226542383432388,1439,0.9931892529129982,43.2,-0.008351976983249187
5800,1216.6,316,5799,0.0007,0.05367821455001831,464000,-0.02749764360487461,1463,0.986930426210165,49.8,0.0086986618116498
5900,1190.6,317,5899,0.0007,0.04092751443386078,472000,-0.06226107478141785,1487,0.989112401381135,48.8,-0.016867930069565773
6000,1162.1,317,5999,0.0007,0.030911525711417198,480000,-0.061778225004673004,1511,0.9837830886244774,47.5,-0.0013010036200284958
6100,1183.4,317,6099,0.0007,0.041766904294490814,488000,-0.09531112760305405,1536,0.9895054148510098,48.7,0.010162413120269775
6200,1198.4,317,6199,0.0007,0.016147075220942497,496000,-0.06931937485933304,1560,0.9977853340096772,46.5,0.0025580376386642456
6300,1229.7,318,6299,0.0007,0.048396024852991104,504000,-0.028660524636507034,1584,0.993619600776583,48.1,0.0002830084122251719
6400,1196.3,318,6399,0.0007,0.03793080896139145,512000,-0.1057015061378479,1608,0.9918235102668405,48.6,0.004534449428319931
6500,1235.4,318,6499,0.0007,0.007900184951722622,520000,-0.031553853303194046,1632,0.9986721776658669,48.2,0.0006627702387049794
6600,1171.0,318,6599,0.0007,0.05745146796107292,528000,-0.06148514896631241,1656,0.9900306090712547,47.0,0.0075509087182581425
6700,1181.6,318,6699,0.0007,0.04915629327297211,536000,-0.021485203877091408,1680,0.9920833325013518,44.0,-0.019052552059292793
