time/total_timesteps,train/explained_variance,rollout/ep_rew_mean,train/value_loss,time/fps,train/learning_rate,train/entropy_loss,time/time_elapsed,train/n_updates,train/policy_loss,rollout/ep_len_mean,time/iterations
312000,0.9912912948057055,40.0,0.023057980462908745,327,0.0007,-0.03930617496371269,952,3899,-0.0014295884175226092,1102.1,3900
320000,0.9971610242500901,41.2,0.005958183202892542,327,0.0007,-0.007772795855998993,976,3999,-6.9847405939071905e-06,1095.0,4000
328000,0.9978032561484724,39.8,0.006359173450618982,327,0.0007,-0.03156915307044983,1000,4099,0.0014315950684249401,1073.5,4100
336000,0.998230219935067,39.0,0.005443183239549398,327,0.0007,-0.034018624573946,1024,4199,0.0009616466122679412,1056.5,4200
344000,0.9446628354489803,36.2,0.35075321793556213,328,0.0007,-0.040376078337430954,1048,4299,-0.011627569794654846,1009.8,4300
352000,0.989559886045754,40.4,0.03814036399126053,328,0.0007,-0.02140684425830841,1072,4399,-0.02915424108505249,1077.7,4400
360000,0.980583380907774,46.1,0.09565030783414841,328,0.0007,-0.03982732072472572,1095,4499,-0.03415536507964134,1146.9,4500
368000,0.9981634322321042,47.4,0.01425019558519125,329,0.0007,-0.028235679492354393,1118,4599,-0.0013168094446882606,1167.2,4600
376000,0.9926295620389283,49.7,0.02477727271616459,329,0.0007,-0.04069500043988228,1141,4699,0.0016429504612460732,1200.7,4700
384000,0.9963686012197286,52.9,0.016090629622340202,329,0.0007,-0.005239573772996664,1164,4799,4.506237382884137e-05,1209.0,4800
392000,0.9975981081370264,49.4,0.011711358092725277,330,0.0007,-0.04537209868431091,1187,4899,-0.0001170860487036407,1173.3,4900
400000,0.9810576066374779,50.6,0.059485115110874176,330,0.0007,-0.016543054953217506,1210,4999,-2.1617150196107104e-05,1192.1,5000
408000,0.9995036730542779,52.2,0.0018908110214397311,330,0.0007,-0.03486458212137222,1234,5099,0.00016905770462471992,1198.6,5100
416000,0.9977529554162174,50.7,0.00788949616253376,330,0.0007,-0.01457985956221819,1257,5199,0.0024308303836733103,1182.0,5200
424000,0.9987969245994464,42.4,0.005899329204112291,330,0.0007,-0.012523980811238289,1281,5299,3.768071110243909e-05,1079.0,5300
432000,0.9976483068894595,51.3,0.010069566778838634,331,0.0007,-0.0016132006421685219,1303,5399,1.2414720913511701e-05,1196.3,5400
440000,0.9989582707639784,52.2,0.0009886492043733597,331,0.0007,-0.0069093587808310986,1326,5499,-2.761306063803204e-07,1202.7,5500
448000,0.9990787345450372,52.0,0.005828340537846088,331,0.0007,-0.013265038840472698,1350,5599,-0.00011927350715268403,1200.8,5600
456000,0.9967968228738755,44.8,0.010463581420481205,331,0.0007,-0.0014329312834888697,1373,5699,-1.7927872022482916e-06,1138.5,5700
464000,0.9992706023040228,52.5,0.004281794652342796,332,0.0007,-0.02184157818555832,1396,5799,-0.001995173515751958,1191.9,5800
472000,0.9985271036857739,50.3,0.008569869212806225,332,0.0007,-0.06559459120035172,1419,5899,0.0020518384408205748,1211.1,5900
480000,0.9957083626650274,44.5,0.028028948232531548,332,0.0007,-0.08460104465484619,1442,5999,0.000863820721860975,1105.5,6000
488000,0.9935530400834978,38.9,0.03378192335367203,332,0.0007,-0.021564507856965065,1465,6099,-0.00018272214219905436,1053.8,6100
496000,0.9841878097504377,41.7,0.07869578152894974,333,0.0007,-0.020829273387789726,1488,6199,-0.008629719726741314,1084.9,6200
504000,0.9899201979860663,46.5,0.047243136912584305,333,0.0007,-0.022101344540715218,1511,6299,-0.0012743142433464527,1171.4,6300
512000,0.9983022132655606,47.3,0.011235986836254597,333,0.0007,-0.010590587742626667,1534,6399,-0.0030482797883450985,1201.4,6400
520000,0.9963324656710029,45.1,0.030514879152178764,333,0.0007,-0.013905619271099567,1557,6499,-0.00019327201880514622,1170.0,6500
528000,0.9981391577748582,43.6,0.016388166695833206,333,0.0007,-0.05006060749292374,1581,6599,-0.003029102925211191,1182.9,6600
536000,0.98813062813133,42.9,0.042078133672475815,333,0.0007,-0.018952971324324608,1604,6699,-0.0005624659243039787,1179.1,6700
544000,0.9902441911399364,48.1,0.05849956348538399,334,0.0007,-0.04397136718034744,1628,6799,-0.13323792815208435,1173.7,6800
552000,0.9982442038599402,44.9,0.01114178728312254,334,0.0007,-0.018474532291293144,1652,6899,0.0014695035060867667,1180.5,6900
560000,0.9995002203504555,44.1,0.0036922551225870848,334,0.0007,-0.008134759031236172,1675,6999,4.527605415205471e-05,1187.0,7000
568000,0.9800924751907587,44.9,0.10481869429349899,334,0.0007,-0.013559174723923206,1698,7099,0.00014648537035100162,1201.6,7100
576000,0.9970893987920135,48.3,0.022521115839481354,334,0.0007,-0.01234407164156437,1722,7199,0.00037414563121274114,1260.7,7200
584000,0.9996059182158206,50.0,0.0036753297317773104,334,0.0007,-0.013396883383393288,1746,7299,0.002095419680699706,1293.8,7300
592000,0.997372233774513,50.0,0.006814681924879551,334,0.0007,-0.002080945996567607,1769,7399,1.5327510709539638e-06,1290.6,7400
600000,0.9965652639511973,50.0,0.02146768569946289,334,0.0007,-0.012144464068114758,1793,7499,-0.00014922012633178383,1299.5,7500
608000,0.9974381437059492,46.6,0.014096158556640148,334,0.0007,-0.011614197865128517,1816,7599,0.005362232215702534,1229.2,7600
